Young Age, 13
Old Age  , 16

Event      ,       13,       14,       15,       16,       13,       14,       15,       16, 13, 14, 15, 16, 13, 14, 15, 16, 
    50 Free,         ,         ,         ,         , 00:28.46, 00:27.86, 00:27.65, 00:27.29,   ,   ,   ,   ,  0,  0,  0,  0, 
   100 Free,         ,         ,         ,         , 01:01.91, 01:00.58, 00:59.88, 00:58.94,   ,   ,   ,   ,  0,  0,  0,  0, 
   200 Free,         ,         ,         ,         , 02:14.78, 02:11.45, 02:09.81, 02:07.57,   ,   ,   ,   ,  0,  0,  0,  0, 
   400 Free,         ,         ,         ,         , 04:45.34, 04:39.16, 04:36.11, 04:31.63,   ,   ,   ,   ,  0,  0,  0,  0, 
   800 Free,         ,         ,         ,         , 09:45.68, 09:37.96, 09:29.57, 09:21.43,   ,   ,   ,   ,  0,  0,  0,  0, 
  1500 Free,         ,         ,         ,         , 18:49.51, 18:32.59, 18:30.23, 18:11.55,   ,   ,   ,   ,  0,  0,  0,  0, 
    50 Back,         ,         ,         ,         ,         ,         ,         ,         ,   ,   ,   ,   ,   ,   ,   ,   , 
   100 Back,         ,         ,         ,         , 01:10.20, 01:08.26, 01:07.40, 01:05.97,   ,   ,   ,   ,  0,  0,  0,  0, 
   200 Back,         ,         ,         ,         , 02:31.53, 02:27.66, 02:25.72, 02:22.97,   ,   ,   ,   ,  0,  0,  0,  0, 
  50 Breast,         ,         ,         ,         ,         ,         ,         ,         ,   ,   ,   ,   ,   ,   ,   ,   , 
 100 Breast,         ,         ,         ,         , 01:20.02, 01:17.56, 01:16.90, 01:15.78,   ,   ,   ,   ,  0,  0,  0,  0, 
 200 Breast,         ,         ,         ,         , 02:53.12, 02:48.13, 02:46.84, 02:42.80,   ,   ,   ,   ,  0,  0,  0,  0, 
     50 Fly,         ,         ,         ,         ,         ,         ,         ,         ,   ,   ,   ,   ,   ,   ,   ,   , 
    100 Fly,         ,         ,         ,         , 01:08.12, 01:06.47, 01:05.45, 01:04.35,   ,   ,   ,   ,  0,  0,  0,  0, 
    200 Fly,         ,         ,         ,         , 02:34.87, 02:30.09, 02:27.93, 02:24.40,   ,   ,   ,   ,  0,  0,  0,  0, 
     100 IM,         ,         ,         ,         ,         ,         ,         ,         ,   ,   ,   ,   ,   ,   ,   ,   , 
     200 IM,         ,         ,         ,         , 02:32.71, 02:29.58, 02:27.43, 02:24.90,   ,   ,   ,   ,  0,  0,  0,  0, 
     400 IM,         ,         ,         ,         , 05:25.72, 05:18.17, 05:13.48, 05:08.43,   ,   ,   ,   ,  0,  0,  0,  0, 
