Young Age,13
Old Age,16

Event,13,14,15,16,13,14,15,16
50 Free,,,,,28.80,28.25,28.04,27.47,0,0,0,0,0,0,0,0
100 Free,,,,,1:02.71,1:01.19,1:00.65,59.13,0,0,0,0,0,0,0,0
200 Free,,,,,2:15.91,2:12.69,2:11.27,2:07.76,0,0,0,0,0,0,0,0
400 Free,,,,,4:48.34,4:41.48,4:38.48,4:31.78,0,0,0,0,0,0,0,0
800 Free,,,,,9:59.10,9:44.12,9:37.75,9:22.03,0,0,0,0,0,0,0,0
1500 Free,,,,,9:59.10,9:59.10,9:59.10,9:59.10,3,2,1,0,3,2,1,0
50 Back,,,,,9:59.10,9:59.10,9:59.10,9:59.10,3,2,1,0,3,2,1,0
100 Back,,,,,1:11.49,1:09.41,1:08.25,1:06.53,0,0,0,0,0,0,0,0
200 Back,,,,,2:33.47,2:29.47,2:27.47,2:23.84,0,0,0,0,0,0,0,0
50 Breast,,,,,2:33.47,2:33.47,2:33.47,2:33.47,3,2,1,0,3,2,1,0
100 Breast,,,,,1:21.18,1:19.09,1:18.62,1:16.00,0,0,0,0,0,0,0,0
200 Breast,,,,,2:55.10,2:50.36,2:48.92,2:43.68,0,0,0,0,0,0,0,0
50 Fly,,,,,2:55.10,2:55.10,2:55.10,2:55.10,3,2,1,0,3,2,1,0
100 Fly,,,,,1:09.60,1:07.70,1:07.01,1:04.92,0,0,0,0,0,0,0,0
200 Fly,,,,,2:38.14,2:33.05,2:31.48,2:24.90,0,0,0,0,0,0,0,0
200 IM,,,,,2:34.35,2:30.77,2:29.43,2:25.37,0,0,0,0,0,0,0,0
400 IM,,,,,5:28.04,5:22.06,5:17.36,5:10.10,0,0,0,0,0,0,0,0
