Young Age,14
Old Age,18

Event,14,15,16,17,18,14,15,16,17,18,14,15,16,17,18,14,15,16,17,18
50 Free,,,,,,00:28.16,00:27.68,00:27.45,00:27.19,00:27.15,,,,,,0,0,0,0,0
100 Free,,,,,,01:01.51,00:59.83,00:59.28,00:58.44,00:58.31,,,,,,0,0,0,0,0
200 Free,,,,,,02:14.29,02:10.29,02:09.28,02:06.83,02:06.14,,,,,,0,0,0,0,0
400 Free,,,,,,04:42.78,04:34.89,04:33.16,04:29.13,04:28.98,,,,,,0,0,0,0,0
800 Free,,,,,,09:45.63,09:32.23,09:30.41,09:19.27,09:18.90,,,,,,0,0,0,0,0
1500 Free,,,,,,19:28.01,18:46.75,18:27.35,18:07.87,18:07.87,,,,,,0,0,0,1,0
50 Back,,,,,,00:30.86,00:30.86,00:30.86,00:30.86,00:30.86,,,,,,4,3,2,1,0
100 Back,,,,,,01:09.24,01:07.69,01:06.77,01:06.52,01:05.55,,,,,,0,0,0,0,0
200 Back,,,,,,02:28.63,02:25.56,02:23.34,02:23.13,02:22.03,,,,,,0,0,0,0,0
50 Breast,,,,,,00:34.26,00:34.26,00:34.26,00:34.26,00:34.26,,,,,,4,3,2,1,0
100 Breast,,,,,,01:19.04,01:16.76,01:14.99,01:14.99,01:14.46,,,,,,0,0,1,0,0
200 Breast,,,,,,02:50.04,02:47.07,02:43.42,04:24.06,04:24.06,,,,,,0,0,0,1,0
50 Fly,,,,,,00:28.78,00:28.78,00:28.78,00:28.78,00:28.78,,,,,,4,3,2,1,0
100 Fly,,,,,,01:08.10,01:06.14,01:04.12,01:03.85,01:03.81,,,,,,0,0,0,0,0
200 Fly,,,,,,02:34.53,02:27.78,02:22.01,02:22.01,02:22.01,,,,,,0,0,2,1,0
100 IM
200 IM,,,,,,02:33.65,02:26.93,02:25.94,02:24.40,02:24.40,,,,,,0,0,0,1,0
400 IM,,,,,,05:24.66,05:12.18,05:11.98,05:06.78,05:06.78,,,,,,0,0,0,1,0
