Young Age,13
Old Age,16

Event,13,14,15,16,13,14,15,16,13,14,15,16,13,14,15,16
50 Free,,,,,00:29.19,00:28.66,00:28.46,00:27.95,,,,,0,0,0,0
100 Free,,,,,01:03.65,01:02.08,01:01.56,01:00.27,,,,,0,0,0,0
200 Free,,,,,02:18.40,02:14.81,02:13.30,02:10.35,,,,,0,0,0,0
400 Free,,,,,04:53.22,04:46.35,04:43.50,04:37.33,,,,,0,0,0,0
800 Free,,,,,10:10.31,09:55.60,09:47.25,09:33.81,,,,,0,0,0,0
1500 Free,,,,,20:08.17,19:28.20,19:10.16,18:35.18,,,,,0,0,0,0
50 Back,,,,,00:32.40,00:32.40,00:32.40,00:32.40,,,,,3,2,1,0
100 Back,,,,,01:12.42,01:10.26,01:09.29,01:07.85,,,,,0,0,0,0
200 Back,,,,,02:36.03,02:31.83,02:29.66,02:26.42,,,,,0,0,0,0
50 Breast,,,,,00:35.97,00:35.97,00:35.97,00:35.97,,,,,3,2,1,0
100 Breast,,,,,01:21.97,01:19.98,01:19.44,01:17.41,,,,,0,0,0,0
200 Breast,,,,,02:57.51,02:52.64,02:51.40,02:46.39,,,,,0,0,0,0
50 Fly,,,,,00:30.22,00:30.22,00:30.22,00:30.22,,,,,3,2,1,0
100 Fly,,,,,01:10.30,01:08.40,01:07.51,01:05.98,,,,,0,0,0,0
200 Fly,,,,,02:40.18,02:34.91,02:32.94,02:27.73,,,,,0,0,0,0
100 IM
200 IM,,,,,02:36.78,02:32.98,02:31.76,02:28.13,,,,,0,0,0,0
400 IM,,,,,05:33.79,05:26.64,05:22.08,05:15.28,,,,,0,0,0,0
