Young Age,10
Old Age,13

Event,10,11,12,13,10,11,12,13,10,11,12,13,10,11,12,13
50 Free,33.98,31.52,30.04,29.54,34.66,32.15,30.64,30.13,0,0,0,0,0,0,0,0
100 Free,1:15.35,1:08.95,1:05.01,1:04.27,1:16.86,1:10.33,1:06.31,1:05.56,0,0,0,0,0,0,0,0
200 Free,2:46.00,2:30.71,2:21.84,2:19.38,2:46.78,2:33.72,2:24.68,2:22.17,0,0,0,0,0,0,0,0
400 Free,5:47.71,5:24.00,5:03.00,5:00.00,5:54.66,5:30.48,5:09.06,5:06.00,0,0,0,0,0,0,0,0
800 Free,11:03.89,11:03.89,10:15.63,10:10.70,11:17.17,11:17.17,10:27.94,10:22.91,1,0,0,0,1,0,0,0
100 Back,1:26.19,1:19.29,1:14.37,1:13.38,1:27.91,1:20.88,1:15.85,1:14.85,0,0,0,0,0,0,0,0
200 Back,3:06.16,2:49.42,2:39.57,2:38.59,3:09.89,2:52.81,2:42.76,2:41.76,0,0,0,0,0,0,0,0
100 Breast,1:37.52,1:31.61,1:26.19,1:23.73,1:39.47,1:33.44,1:27.91,1:25.40,0,0,0,0,0,0,0,0
200 Breast,3:16.02,3:16.02,3:04.19,3:01.24,3:19.94,3:19.94,3:07.88,3:04.86,1,0,0,0,1,0,0,0
100 Fly,1:31.11,1:22.25,1:16.34,1:14.37,1:32.93,1:23.89,1:17.86,1:15.85,0,0,0,0,0,0,0,0
200 Fly,3:09.12,3:09.12,2:53.36,2:49.42,3:12.90,3:12.90,2:56.83,2:52.81,1,0,0,0,1,0,0,0
100 IM,1:29.64,,,,,,,,0,,,,,,,
200 IM,3:09.00,2:53.00,2:43.00,2:40.00,3:12.78,2:56.46,2:46.26,2:43.20,0,0,0,0,0,0,0,0
400 IM,6:04.45,6:04.45,5:43.00,5:41.00,6:11.74,6:11.74,5:49.86,5:47.82,1,0,0,0,1,0,0,0
