Young Age,11
Old Age,17

Event,11,12,13,14,15,16,17,11,12,13,14,15,16,17,11,12,13,14,15,16,17,11,12,13,14,15,16,17
50 Free,00:37.00,00:37.00,00:31.40,00:31.40,00:31.24,00:31.24,00:31.24,00:38.11,00:38.11,00:32.34,00:32.34,00:32.18,00:32.18,00:32.18,1,0,1,0,2,1,0,1,0,1,0,2,1,0
100 Free,01:25.75,01:25.75,01:09.05,01:09.05,01:08.80,01:08.80,01:08.80,01:28.32,01:28.32,01:11.12,01:11.12,01:10.82,01:10.82,01:10.82,1,0,1,0,2,1,0,1,0,1,0,2,1,0
200 Free,03:06.00,03:06.00,02:31.13,02:31.13,02:31.90,02:31.90,02:31.90,03:11.58,03:11.58,02:35.66,02:35.66,02:36.43,02:36.43,02:36.43,1,0,1,0,2,1,0,1,0,1,0,2,1,0
400 Free,06:50.00,06:50.00,05:24.56,05:24.56,05:40.10,05:40.10,05:40.10,07:02.30,07:02.30,05:34.30,05:34.30,05:50.25,05:50.25,05:50.25,1,0,1,0,2,1,0,1,0,1,0,2,1,0
800 Free,14:00.00,14:00.00,13:06.61,13:06.61,12:10.00,12:10.00,12:10.00,14:25.20,14:25.20,13:30.21,13:30.21,12:31.90,12:31.90,12:31.90,1,0,1,0,2,1,0,1,0,1,0,2,1,0
1500 Free,21:00.00,21:00.00,21:00.00,21:00.00,20:20.00,20:20.00,20:20.00,21:37.80,21:37.80,21:37.80,21:37.80,20:56.60,20:56.60,20:56.60,3,2,1,0,2,1,0,3,2,1,0,2,1,0
50 Back
100 Back,01:38.00,01:38.00,01:19.90,01:19.90,01:22.10,01:22.10,01:22.10,01:40.94,01:40.94,01:22.30,01:22.30,01:24.59,01:24.59,01:24.59,1,0,1,0,2,1,0,1,0,1,0,2,1,0
200 Back,03:30.00,03:30.00,02:54.60,02:54.60,03:04.50,03:04.50,03:04.50,03:36.30,03:36.30,02:59.84,02:59.84,03:10.09,03:10.09,03:10.09,1,0,1,0,2,1,0,1,0,1,0,2,1,0
50 Breast
100 Breast,01:52.00,01:52.00,01:32.25,01:32.25,01:34.90,01:34.90,01:34.90,01:55.36,01:55.36,01:35.02,01:35.02,01:37.77,01:37.77,01:37.77,1,0,1,0,2,1,0,1,0,1,0,2,1,0
200 Breast,03:50.00,03:50.00,03:23.12,03:23.12,03:20.00,03:20.00,03:20.00,03:56.90,03:56.90,03:29.21,03:29.21,03:26.00,03:26.00,03:26.00,1,0,1,0,2,1,0,1,0,1,0,2,1,0
50 Fly
100 Fly,01:45.00,01:45.00,01:23.77,01:23.77,01:19.30,01:19.30,01:19.30,01:48.15,01:48.15,01:26.28,01:26.28,01:21.68,01:21.68,01:21.68,1,0,1,0,2,1,0,1,0,1,0,2,1,0
200 Fly,03:40.00,03:40.00,03:30.00,03:30.00,03:15.00,03:15.00,03:15.00,03:46.60,03:46.60,03:36.30,03:36.30,03:20.85,03:20.85,03:20.85,1,0,1,0,2,1,0,1,0,1,0,2,1,0
100 IM
200 IM,03:35.00,03:35.00,02:52.67,02:52.67,02:49.00,02:49.00,02:49.00,03:41.45,03:41.45,02:57.85,02:57.85,02:54.07,02:54.07,02:54.07,1,0,1,0,2,1,0,1,0,1,0,2,1,0
400 IM,07:20.00,07:20.00,06:40.11,06:40.11,06:29.00,06:29.00,06:29.00,07:33.20,07:33.20,06:52.11,06:52.11,06:40.67,06:40.67,06:40.67,1,0,1,0,2,1,0,1,0,1,0,2,1,0
