Young Age,11
Old Age,16

Event,11,12,13,14,15,16,11,12,13,14,15,16,11,12,13,14,15,16,11,12,13,14,15,16
50 Free,00:37.00,00:37.00,00:29.18,00:29.18,00:28.65,00:28.65,00:38.11,00:38.11,00:30.06,00:30.06,00:29.51,00:29.51,1,0,1,0,1,0,1,0,1,0,1,0
100 Free,01:25.75,01:25.75,01:04.05,01:04.05,01:02.30,01:02.30,01:28.32,01:28.32,01:05.97,01:05.97,01:04.17,01:04.17,1,0,1,0,1,0,1,0,1,0,1,0
200 Free,03:06.00,03:06.00,02:18.87,02:18.87,02:15.90,02:15.90,03:11.58,03:11.58,02:23.04,02:23.04,02:19.98,02:19.98,1,0,1,0,1,0,1,0,1,0,1,0
400 Free,06:50.00,06:50.00,04:54.51,04:54.51,04:52.31,04:52.31,07:02.30,07:02.30,05:03.35,05:03.35,05:01.08,05:01.08,1,0,1,0,1,0,1,0,1,0,1,0
800 Free,14:00.00,14:00.00,10:22.47,10:22.47,10:12.25,10:12.25,14:25.20,14:25.20,10:41.14,10:41.14,10:30.62,10:30.62,1,0,1,0,1,0,1,0,1,0,1,0
1500 Free,20:30.00,20:30.00,20:30.00,20:30.00,19:59.00,19:59.00,21:06.90,21:06.90,21:06.90,21:06.90,20:34.97,20:34.97,3,2,1,0,1,0,3,2,1,0,1,0
50 Back
100 Back,01:38.00,01:38.00,01:12.49,01:12.49,01:10.54,01:10.54,01:40.94,01:40.94,01:14.66,01:14.66,01:12.66,01:12.66,1,0,1,0,1,0,1,0,1,0,1,0
200 Back,03:30.00,03:30.00,02:36.33,02:36.33,02:34.58,02:34.58,03:36.30,03:36.30,02:41.02,02:41.02,02:39.22,02:39.22,1,0,1,0,1,0,1,0,1,0,1,0
50 Breast
100 Breast,01:52.00,01:52.00,01:23.61,01:23.61,01:22.67,01:22.67,01:55.36,01:55.36,01:26.12,01:26.12,01:25.15,01:25.15,1,0,1,0,1,0,1,0,1,0,1,0
200 Breast,03:50.00,03:50.00,03:04.43,03:04.43,02:58.00,02:58.00,03:56.90,03:56.90,03:06.90,03:06.90,03:03.34,03:03.34,1,0,1,0,1,0,1,0,1,0,1,0
50 Fly
100 Fly,01:45.00,01:45.00,01:12.87,01:12.87,01:10.95,01:10.95,01:48.15,01:48.15,01:15.06,01:15.06,01:13.08,01:13.08,1,0,1,0,1,0,1,0,1,0,1,0
200 Fly,03:40.00,03:40.00,02:49.01,02:49.01,02:45.00,02:45.00,03:46.60,03:46.60,02:54.08,02:54.08,02:49.95,02:49.95,1,0,1,0,1,0,1,0,1,0,1,0
100 IM
200 IM,03:35.00,03:35.00,02:37.57,02:37.57,02:34.78,02:34.78,03:41.45,03:41.45,02:42.30,02:42.30,02:39.42,02:39.42,1,0,1,0,1,0,1,0,1,0,1,0
400 IM,07:20.00,07:20.00,05:43.14,05:43.14,05:41.89,05:41.89,07:33.20,07:33.20,05:53.43,05:53.43,05:52.15,05:52.15,1,0,1,0,1,0,1,0,1,0,1,0
