Young Age,17
Old Age,17

Event,17,17,17,17,
50 Free,00:27.29,00:27.99,0,0,
100 Free,01:00.29,01:01.89,0,0,
200 Free,02:11.89,02:15.29,0,0,
400 Free,04:36.36,04:43.86,0,0,
800 Free,09:35.19,09:51.03,0,0,
1500 Free,19:11.57,19:41.27,0,0,
50 Back,00:31.48,00:32.71,0,0,
100 Back,01:08.11,01:10.51,0,0,
200 Back,02:27.16,02:32.06,0,0,
50 Breast,00:35.59,00:36.32,0,0,
100 Breast,01:17.83,01:19.83,0,0,
200 Breast,02:51.78,02:55.78,0,0,
50 Fly,00:29.86,00:30.51,0,0,
100 Fly,01:08.70,01:10.00,0,0,
200 Fly,02:32.63,02:35.73,0,0,
100 IM,,,,,
200 IM,02:28.35,02:31.85,0,0,
400 IM,05:19.63,05:28.43,0,0,
