Young Age,12
Old Age,17

Event,12,13,14,15,16,17,12,13,14,15,16,17,12,13,14,15,16,17,12,13,14,15,16,17
50 Free,30.54,30.54,30.54,30.54,29.42,29.11,31.16,31.16,31.16,31.16,30.02,29.70,3,2,1,0,0,0,3,2,1,0,0,0
100 Free,1:06.04,1:06.04,1:06.04,1:06.04,1:03.33,1:02.64,1:07.39,1:07.39,1:07.39,1:07.39,1:04.62,1:03.92,3,2,1,0,0,0,3,2,1,0,0,0
200 Free,2:45.42,2:33.95,2:26.93,2:22.94,2:16.84,2:15.56,2:48.80,2:37.91,2:29.93,2:25.86,2:19.63,2:18.12,0,0,0,0,0,0,0,0,0,0,0,0
400 Free,5:50.09,5:27.79,5:11.19,5:01.67,4:51.09,4:47.94,5:57.23,5:35.28,5:18.06,5:09.33,4:57.03,4:53.82,0,0,0,0,0,0,0,0,0,0,0,0
800 Free,12:08.74,11:19.30,10:43.73,10:28.11,10:01.96,9:55.45,12:23.61,11:36.63,11:00.02,10:41.94,10:14.24,10:07.60,0,0,0,0,0,0,0,0,0,0,0,0
1500 Free,23:50.84,22:13.26,21:03.73,20:32.33,19:42.76,19:29.97,24:20.13,22:47.44,21:34.75,20:58.83,20:06.90,19:53.85,0,0,0,0,0,0,0,0,0,0,0,0
50 Back,35.94,35.94,35.94,35.94,34.47,34.07,36.67,36.67,36.67,36.67,35.17,34.77,3,2,1,0,0,0,3,2,1,0,0,0
100 Back,1:14.31,1:14.31,1:14.31,1:14.31,1:11.26,1:10.48,1:15.83,1:15.83,1:15.83,1:15.83,1:12.71,1:11.92,3,2,1,0,0,0,3,2,1,0,0,0
200 Back,3:06.38,2:54.42,2:46.28,2:40.58,2:34.06,2:32.39,3:10.18,2:57.98,2:49.67,2:43.86,2:37.20,2:35.50,0,0,0,0,0,0,0,0,0,0,0,0
50 Breast,39.82,39.82,39.82,39.82,38.14,37.72,40.63,40.63,40.63,40.63,38.92,38.49,3,2,1,0,0,0,3,2,1,0,0,0
100 Breast,1:25.61,1:25.61,1:25.61,1:25.61,1:21.40,1:20.52,1:27.36,1:27.36,1:27.36,1:27.36,1:23.06,1:22.16,3,2,1,0,0,0,3,2,1,0,0,0
200 Breast,3:32.00,3:18.40,3:09.24,3:03.94,2:55.49,2:53.58,3:36.33,3:22.45,3:13.10,3:07.69,2:59.06,2:57.12,0,0,0,0,0,0,0,0,0,0,0,0
50 Fly,33.67,33.67,33.67,33.67,31.62,31.28,34.36,34.36,34.36,34.36,32.27,31.92,3,2,1,0,0,0,3,2,1,0,0,0
100 Fly,1:12.33,1:12.33,1:12.33,1:12.33,1:09.53,1:08.78,1:14.11,1:14.11,1:14.11,1:14.11,1:10.95,1:10.18,3,2,1,0,0,0,3,2,1,0,0,0
200 Fly,3:11.34,2:59.06,2:49.75,2:41.33,2:35.19,2:33.52,3:15.24,3:02.71,2:53.21,2:45.44,2:38.36,2:36.65,0,0,0,0,0,0,0,0,0,0,0,0
200 IM,3:08.19,2:55.89,2:46.95,2:42.71,2:35.69,2:34.02,3:13.01,2:59.48,2:50.36,2:46.03,2:38.87,2:37.16,0,0,0,0,0,0,0,0,0,0,0,0
400 IM,6:40.00,6:13.81,5:56.63,5:45.57,5:32.13,5:28.54,6:50.24,6:21.44,6:03.91,5:52.62,5:38.91,5:35.24,0,0,0,0,0,0,0,0,0,0,0,0
