Young Age,12
Old Age,17

Event,12,13,14,15,16,17,12,13,14,15,16,17,12,13,14,15,16,17,12,13,14,15,16,17
50 Free,30.67,30.67,30.67,30.67,29.84,29.51,31.44,31.44,31.44,31.44,30.60,30.27,3,2,1,0,0,0,3,2,1,0,0,0
100 Free,1:07.00,1:07.00,1:07.00,1:07.00,1:04.37,1:03.68,1:08.67,1:08.67,1:08.67,1:08.67,1:06.01,1:05.30,3,2,1,0,0,0,3,2,1,0,0,0
200 Free,2:45.78,2:33.95,2:27.01,2:23.44,2:20.11,2:18.59,2:50.00,2:37.91,2:30.73,2:27.11,2:23.61,2:22.05,0,0,0,0,0,0,0,0,0,0,0,0
400 Free,5:51.33,5:27.79,5:11.19,5:01.67,4:55.96,4:52.76,6:00.24,5:36.16,5:19.10,5:09.33,5:03.50,5:00.22,0,0,0,0,0,0,0,0,0,0,0,0
800 Free,12:08.92,11:19.30,10:43.73,10:28.11,10:11.80,10:05.19,12:27.59,11:36.63,11:00.23,10:44.11,10:27.43,10:20.65,0,0,0,0,0,0,0,0,0,0,0,0
1500 Free,23:50.84,22:13.26,21:03.73,20:32.33,19:59.23,19:46.27,24:27.47,22:47.44,21:36.05,21:03.89,20:32.79,20:19.46,0,0,0,0,0,0,0,0,0,0,0,0
50 Back,36.11,36.11,36.11,36.11,34.97,34.59,37.00,37.00,37.00,37.00,35.85,35.46,3,2,1,0,0,0,3,2,1,0,0,0
100 Back,1:16.00,1:16.00,1:16.00,1:16.00,1:13.77,1:12.97,1:17.89,1:17.89,1:17.89,1:17.89,1:15.63,1:14.81,3,2,1,0,0,0,3,2,1,0,0,0
200 Back,2:43.89,2:43.89,2:43.89,2:43.89,2:39.89,2:38.16,2:48.00,2:48.00,2:48.00,2:48.00,2:43.93,2:42.16,3,2,1,0,0,0,3,2,1,0,0,0
50 Breast,40.00,40.00,40.00,40.00,38.69,38.27,41.00,41.00,41.00,41.00,39.67,39.24,3,2,1,0,0,0,3,2,1,0,0,0
100 Breast,1:26.67,1:26.67,1:26.67,1:26.67,1:24.26,1:23.35,1:28.89,1:28.89,1:28.89,1:28.89,1:26.34,1:25.41,3,2,1,0,0,0,3,2,1,0,0,0
200 Breast,3:06.22,3:06.22,3:06.22,3:06.22,3:00.98,2:59.03,3:10.89,3:10.89,3:10.89,3:10.89,3:05.57,3:03.57,3,2,1,0,0,0,3,2,1,0,0,0
50 Fly,33.89,33.89,33.89,33.89,32.13,31.78,34.67,34.67,34.67,34.67,32.90,32.54,3,2,1,0,0,0,3,2,1,0,0,0
100 Fly,1:12.33,1:12.33,1:12.33,1:12.33,1:10.38,1:09.62,1:14.11,1:14.11,1:14.11,1:14.11,1:12.13,1:11.35,3,2,1,0,0,0,3,2,1,0,0,0
200 Fly,2:41.33,2:41.33,2:41.33,2:41.33,2:37.60,2:35.89,2:45.44,2:45.44,2:45.44,2:45.44,2:41.53,2:39.78,3,2,1,0,0,0,3,2,1,0,0,0
200 IM,3:08.19,2:56.86,2:49.15,2:44.44,2:39.67,2:37.95,3:13.01,3:01.40,2:53.45,2:48.56,2:43.72,2:41.95,0,0,0,0,0,0,0,0,0,0,0,0
400 IM,6:40.00,6:15.93,5:58.98,5:50.56,5:42.40,5:38.70,6:50.24,6:25.47,6:08.14,5:59.44,5:51.15,5:47.35,0,0,0,0,0,0,0,0,0,0,0,0
