Young Age,13
Old Age,23

Event,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23
50 Free,,,,,,,,,,,,00:25.99,00:25.99,00:25.99,00:25.99,00:25.99,00:25.73,00:25.49,00:25.28,00:25.10,00:24.95,00:24.82,,,,,,,,,,,,4,3,2,1,0,0,0,0,0,0,0
200 Free,,,,,,,,,,,,02:06.87,02:06.87,02:04.58,02:02.63,02:00.99,01:59.63,01:58.56,01:57.74,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
800 Free,,,,,,,,,,,,09:15.65,09:04.58,08:55.30,08:47.75,08:41.68,08:37.04,08:33.73,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Free,,,,,,,,,,,,00:57.95,00:57.95,00:57.95,00:57.09,00:56.36,00:55.74,00:55.23,00:54.82,00:54.50,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0
400 Free,,,,,,,,,,,,04:25.00,04:25.00,04:20.75,04:17.14,04:14.11,04:11.66,04:09.74,04:08.34,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
100 Back,,,,,,,,,,,,01:05.59,01:05.59,01:04.47,01:03.50,01:02.66,01:01.95,01:01.36,01:00.89,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 Back,,,,,,,,,,,,02:23.65,02:20.39,02:17.61,02:15.29,02:13.37,02:11.85,02:10.68,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Breast,,,,,,,,,,,,01:12.73,01:12.73,01:11.45,01:10.33,01:09.36,01:08.52,01:07.81,01:07.22,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 Breast,,,,,,,,,,,,02:38.05,02:38.05,02:35.34,02:32.98,02:30.93,02:29.20,02:27.75,02:26.58,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 IM,,,,,,,,,,,,02:22.91,02:22.91,02:20.41,02:18.28,02:16.49,02:15.03,02:13.87,02:13.01,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
400 IM,,,,,,,,,,,,05:04.01,04:57.89,04:52.62,04:48.14,04:44.39,04:41.32,04:38.91,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Fly,,,,,,,,,,,,01:02.19,01:02.19,01:02.19,01:01.18,01:00.31,00:59.58,00:58.98,00:58.51,00:58.15,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0
200 Fly,,,,,,,,,,,,02:19.88,02:19.88,02:17.06,02:14.71,02:12.77,02:11.23,02:10.05,02:09.21,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
