Young Age,14
Old Age,17

Event,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,17,
50 Free,,,,,00:27.73,00:27.73,00:27.34,00:27.01,,,,,1,0,0,0,
100 Free,,,,,01:00.89,00:59.40,00:58.53,00:57.78,,,,,0,0,0,0,
200 Free,,,,,02:12.36,02:08.49,02:06.26,02:04.32,,,,,0,0,0,0,
400 Free,,,,,04:37.96,04:30.16,04:25.65,04:21.75,,,,,0,0,0,0,
800 Free,,,,,09:29.58,09:13.45,09:04.11,08:56.04,,,,,0,0,0,0,
1500 Free,,,,,,,,,,,,,,,,,
50 Back,,,,,,,,,,,,,,,,,
100 Back,,,,,01:08.42,01:06.29,01:05.05,01:03.99,,,,,0,0,0,0,
200 Back,,,,,02:26.22,02:21.64,02:18.99,02:16.69,,,,,0,0,0,0,
50 Breast,,,,,,,,,,,,,,,,,
100 Breast,,,,,01:15.42,01:13.69,01:12.68,01:11.80,,,,,0,0,0,0,
200 Breast,,,,,02:43.57,02:39.04,02:36.43,02:34.16,,,,,0,0,0,0,
50 Fly,,,,,,,,,,,,,,,,,
100 Fly,,,,,01:06.07,01:04.15,01:03.04,01:02.08,,,,,0,0,0,0,
200 Fly,,,,,02:26.51,02:21.46,02:18.54,02:16.01,,,,,0,0,0,0,
100 IM,,,,,,,,,,,,,,,,,
200 IM,,,,,02:28.36,02:24.30,02:21.95,02:19.93,,,,,0,0,0,0,
400 IM,,,,,05:15.71,05:04.57,04:58.11,04:52.55,,,,,0,0,0,0,
