Young Age,13
Old Age,17

Event,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17
50 Free,28.61,28.11,27.70,27.52,27.18,29.19,28.67,28.25,28.07,27.72,0,0,0,0,0,0,0,0,0,0
100 Free,1:01.97,1:00.65,59.98,59.62,58.73,1:03.21,1:01.86,1:01.18,1:00.81,59.90,0,0,0,0,0,0,0,0,0,0
200 Free,2:14.61,2:11.66,2:10.47,2:08.77,2:07.12,2:17.30,2:14.29,2:13.90,2:11.35,2:09.66,0,0,0,0,0,0,0,0,0,0
400 Free,4:46.27,4:38.72,4:37.16,4:33.47,4:30.30,4:52.00,4:44.29,4:42.70,4:38.94,4:35.71,0,0,0,0,0,0,0,0,0,0
800 Free,9:51.37,9:42.68,9:36.07,9:25.20,9:19.55,10:03.20,9:54.33,9:48.60,9:36.50,9:30.74,0,0,0,0,0,0,0,0,0,0
1500 Free,18:53.43,18:36.76,18:24.14,18:03.27,17:52.44,19:16.10,18:59.10,18:46.22,18:24.94,18:13.89,0,0,0,0,0,0,0,0,0,0
100 Back,1:09.94,1:08.74,1:07.75,1:06.73,1:05.64,1:11.34,1:10.12,1:09.11,1:08.06,1:06.95,0,0,0,0,0,0,0,0,0,0
200 Back,2:30.95,2:27.12,2:25.49,2:24.27,2:21.81,2:33.97,2:30.06,2:28.40,2:27.16,2:24.65,0,0,0,0,0,0,0,0,0,0
100 Breast,1:20.14,1:19.17,1:18.57,1:18.14,1:17.35,1:21.74,1:20.76,1:20.14,1:19.70,1:18.90,0,0,0,0,0,0,0,0,0,0
200 Breast,2:52.63,2:50.47,2:49.96,2:48.65,2:47.80,2:56.08,2:53.88,2:53.36,2:52.02,2:51.16,0,0,0,0,0,0,0,0,0,0
100 Fly,1:09.75,1:08.67,1:07.62,1:06.74,1:06.06,1:11.15,1:10.04,1:08.97,1:08.07,1:07.38,0,0,0,0,0,0,0,0,0,0
200 Fly,2:38.43,2:35.64,2:34.43,2:29.52,2:27.29,2:41.60,2:38.75,2:37.52,2:32.51,2:30.24,0,0,0,0,0,0,0,0,0,0
200 IM,2:34.34,2:30.06,2:28.52,2:26.33,2:24.97,2:37.43,2:33.07,2:31.49,2:29.26,2:27.87,0,0,0,0,0,0,0,0,0,0
400 IM,5:26.13,5:23.35,5:14.35,5:12.33,5:08.59,5:32.65,5:29.82,5:20.64,5:18.58,5:14.76,0,0,0,0,0,0,0,0,0,0
