Young Age,13
Old Age,17

Event,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17
50 Free,29.54,29.02,28.60,28.41,28.06,30.13,29.60,29.17,28.98,28.62,0,0,0,0,0,0,0,0,0,0
100 Free,1:03.98,1:02.62,1:01.93,1:01.56,1:00.64,1:05.26,1:03.87,1:03.17,1:02.79,1:01.85,0,0,0,0,0,0,0,0,0,0
200 Free,2:18.98,2:15.94,2:14.71,2:12.96,2:11.25,2:21.76,2:18.65,2:18.25,2:15.62,2:13.87,0,0,0,0,0,0,0,0,0,0
400 Free,4:55.57,4:47.78,4:46.17,4:42.36,4:39.08,5:01.49,4:53.53,4:51.89,4:48.01,4:44.67,0,0,0,0,0,0,0,0,0,0
800 Free,10:10.59,10:01.62,9:54.79,9:43.57,9:37.74,10:22.80,10:13.65,10:07.73,9:55.24,9:49.29,0,0,0,0,0,0,0,0,0,0
1500 Free,19:30.27,19:13.05,19:00.02,18:38.48,18:27.29,19:53.67,19:36.12,19:22.82,19:00.85,18:49.44,0,0,0,0,0,0,0,0,0,0
100 Back,1:12.21,1:10.97,1:09.95,1:08.90,1:07.77,1:13.66,1:12.40,1:11.36,1:10.27,1:09.13,0,0,0,0,0,0,0,0,0,0
200 Back,2:35.86,2:31.90,2:30.22,2:28.96,2:26.42,2:38.97,2:34.94,2:33.22,2:31.94,2:29.35,0,0,0,0,0,0,0,0,0,0
100 Breast,1:22.74,1:21.74,1:21.12,1:20.68,1:19.86,1:24.40,1:23.38,1:22.74,1:22.29,1:21.46,0,0,0,0,0,0,0,0,0,0
200 Breast,2:58.24,2:56.01,2:55.48,2:54.13,2:53.25,3:01.80,2:59.53,2:58.99,2:57.61,2:56.72,0,0,0,0,0,0,0,0,0,0
100 Fly,1:12.02,1:10.90,1:09.82,1:08.91,1:08.21,1:13.46,1:12.32,1:11.21,1:10.28,1:09.57,0,0,0,0,0,0,0,0,0,0
200 Fly,2:43.58,2:40.70,2:39.45,2:34.38,2:32.08,2:46.85,2:43.91,2:42.64,2:37.47,2:35.12,0,0,0,0,0,0,0,0,0,0
200 IM,2:39.36,2:34.94,2:33.35,2:31.09,2:29.68,2:42.55,2:38.04,2:36.41,2:34.11,2:32.68,0,0,0,0,0,0,0,0,0,0
400 IM,5:36.73,5:33.86,5:24.57,5:22.48,5:18.62,5:43.46,5:40.54,5:31.06,5:28.93,5:24.99,0,0,0,0,0,0,0,0,0,0
