Young Age, 18
Old Age  , 19

Event      ,       18,       19,       18,       19, 18, 19, 18, 19, 
    50 Free,         ,         , 00:27.29, 00:26.87,   ,   ,  0,  0, 
   100 Free,         ,         , 00:58.94, 00:57.45,   ,   ,  0,  0, 
   200 Free,         ,         , 02:07.57, 02:04.66,   ,   ,  0,  0, 
   400 Free,         ,         , 04:31.63, 04:25.15,   ,   ,  0,  0, 
   800 Free,         ,         , 09:21.43, 09:11.99,   ,   ,  0,  0, 
  1500 Free,         ,         , 18:11.55, 18:01.82,   ,   ,  0,  0, 
    50 Back,         ,         ,         ,         ,   ,   ,   ,   , 
   100 Back,         ,         , 01:05.97, 01:04.51,   ,   ,  0,  0, 
   200 Back,         ,         , 02:22.97, 02:19.60,   ,   ,  0,  0, 
  50 Breast,         ,         ,         ,         ,   ,   ,   ,   , 
 100 Breast,         ,         , 01:15.78, 01:13.10,   ,   ,  0,  0, 
 200 Breast,         ,         , 02:42.80, 02:38.35,   ,   ,  0,  0, 
     50 Fly,         ,         ,         ,         ,   ,   ,   ,   , 
    100 Fly,         ,         , 01:04.35, 01:02.63,   ,   ,  0,  0, 
    200 Fly,         ,         , 02:24.40, 02:21.51,   ,   ,  0,  0, 
     100 IM,         ,         ,         ,         ,   ,   ,   ,   , 
     200 IM,         ,         , 02:24.90, 02:22.40,   ,   ,  0,  0, 
     400 IM,         ,         , 05:08.43, 05:03.68,   ,   ,  0,  0, 
