Young Age,14
Old Age,16

Event,14,15,16,14,15,16
50 Free,,,,27.23,27.02,26.93,0,0,0,0,0,0
100 Free,,,,59.43,58.34,57.45,0,0,0,0,0,0
200 Free,,,,2:08.15,2:06.21,2:04.66,0,0,0,0,0,0
400 Free,,,,4:32.41,4:29.67,4:25.15,0,0,0,0,0,0
800 Free,,,,9:29.37,9:17.61,9:11.99,0,0,0,0,0,0
1500 Free,,,,18:07.43,18:07.43,18:07.43,2,1,0,2,1,0
50 Back,,,,30.58,30.58,30.58,2,1,0,2,1,0
100 Back,,,,1:06.63,1:04.92,1:04.51,0,0,0,0,0,0
200 Back,,,,2:23.04,2:20.26,2:19.60,0,0,0,0,0,0
50 Breast,,,,33.93,33.93,33.93,2,1,0,2,1,0
100 Breast,,,,1:15.46,1:14.80,1:13.10,0,0,0,0,0,0
200 Breast,,,,2:43.53,2:40.90,2:38.35,0,0,0,0,0,0
50 Fly,,,,28.49,28.49,28.49,2,1,0,2,1,0
100 Fly,,,,1:03.94,1:03.16,1:02.64,0,0,0,0,0,0
200 Fly,,,,2:25.25,2:22.40,2:21.92,0,0,0,0,0,0
200 IM,,,,2:26.81,2:23.12,2:22.40,0,0,0,0,0,0
400 IM,,,,5:10.55,5:03.68,5:03.68,0,0,0,0,0,0
