Young Age,17
Old Age,17

Event,17,17,17,17,
50 Free,00:26.45,00:27.24,0,0,
100 Free,00:57.10,00:58.81,0,0,
200 Free,02:03.04,02:06.73,0,0,
400 Free,04:22.73,04:30.61,0,0,
800 Free,09:02.74,09:19.02,0,0,
1500 Free,,,,,
50 Back,00:29.38,00:30.26,0,0,
100 Back,01:03.41,01:05.31,0,0,
200 Back,02:17.86,02:22.00,0,0,
50 Breast,00:33.17,00:34.17,0,0,
100 Breast,01:11.96,01:14.12,0,0,
200 Breast,02:36.55,02:41.13,0,0,
50 Fly,00:28.06,00:28.90,0,0,
100 Fly,01:02.71,01:04.59,0,0,
200 Fly,02:21.07,02:25.30,0,0,
100 IM,,,,,
200 IM,02:20.95,02:25.18,0,0,
400 IM,05:00.46,05:09.47,0,0,
