Young Age,13
Old Age,16

Event,13,14,15,16,13,14,15,16,13,14,15,16,13,14,15,16
50 Free,,,,,29.38,28.82,28.61,28.30,0,0,0,0,0,0,0,0
100 Free,,,,,1:03.96,1:02.42,1:01.86,1:00.91,0,0,0,0,0,0,0,0
200 Free,,,,,2:18.63,2:15.35,2:13.90,2:11.60,0,0,0,0,0,0,0,0
400 Free,,,,,4:54.21,4:47.17,4:44.05,4:39.94,0,0,0,0,0,0,0,0
800 Free,,,,,10:11.08,9:56.22,9:49.32,9:38.90,0,0,0,0,0,0,0,0
1500 Free,,,,,,,,,3,2,1,0,3,2,1,0
50 Back,,,,,32.71,32.71,32.71,32.71,3,2,1,0,3,2,1,0
100 Back,,,,,1:12.92,1:10.80,1:09.62,1:08.53,0,0,0,0,0,0,0,0
200 Back,,,,,2:36.54,2:32.47,2:30.34,2:28.16,0,0,0,0,0,0,0,0
50 Breast,,,,,36.32,36.32,36.32,36.32,3,2,1,0,3,2,1,0
100 Breast,,,,,1:22.80,1:20.67,1:20.20,1:18.28,0,0,0,0,0,0,0,0
200 Breast,,,,,2:58.64,2:53.77,2:52.30,2:48.59,0,0,0,0,0,0,0,0
50 Fly,,,,,30.51,30.51,30.51,30.51,3,2,1,0,3,2,1,0
100 Fly,,,,,1:10.99,1:09.05,1:08.36,1:06.87,0,0,0,0,0,0,0,0
200 Fly,,,,,2:41.31,2:36.13,2:34.51,2:29.25,0,0,0,0,0,0,0,0
200 IM,,,,,2:37.51,2:33.78,2:32.42,2:29.73,0,0,0,0,0,0,0,0
400 IM,,,,,5:34.62,5:28.58,5:23.85,5:19.41,0,0,0,0,0,0,0,0
