Young Age, 14
Old Age  , 17

Event      ,       14,       15,       16,       17,       14,       15,       16,       17, 14, 15, 16, 17, 14, 15, 16, 17, 
    50 Free,         ,         ,         ,         , 00:26.04, 00:25.43, 00:25.06, 00:24.56,   ,   ,   ,   ,  0,  0,  0,  0, 
   100 Free,         ,         ,         ,         , 00:56.72, 00:55.39, 00:54.47, 00:53.25,   ,   ,   ,   ,  0,  0,  0,  0, 
   200 Free,         ,         ,         ,         , 02:04.67, 02:01.40, 01:59.31, 01:56.47,   ,   ,   ,   ,  0,  0,  0,  0, 
   400 Free,         ,         ,         ,         , 04:26.40, 04:19.43, 04:15.78, 04:10.18,   ,   ,   ,   ,  0,  0,  0,  0, 
   800 Free,         ,         ,         ,         , 09:11.94, 09:00.65, 08:53.02, 08:44.55,   ,   ,   ,   ,  0,  0,  0,  0, 
  1500 Free,         ,         ,         ,         , 17:33.62, 17:16.79, 16:58.79, 16:48.31,   ,   ,   ,   ,  0,  0,  0,  0, 
    50 Back,         ,         ,         ,         ,         ,         ,         ,         ,   ,   ,   ,   ,   ,   ,   ,   , 
   100 Back,         ,         ,         ,         , 01:04.58, 01:02.86, 01:02.09, 01:00.11,   ,   ,   ,   ,  0,  0,  0,  0, 
   200 Back,         ,         ,         ,         , 02:19.99, 02:16.45, 02:14.61, 02:11.69,   ,   ,   ,   ,  0,  0,  0,  0, 
  50 Breast,         ,         ,         ,         ,         ,         ,         ,         ,   ,   ,   ,   ,   ,   ,   ,   , 
 100 Breast,         ,         ,         ,         , 01:12.69, 01:10.60, 01:09.16, 01:08.10,   ,   ,   ,   ,  0,  0,  0,  0, 
 200 Breast,         ,         ,         ,         , 02:38.93, 02:34.41, 02:31.75, 02:28.74,   ,   ,   ,   ,  0,  0,  0,  0, 
     50 Fly,         ,         ,         ,         ,         ,         ,         ,         ,   ,   ,   ,   ,   ,   ,   ,   , 
    100 Fly,         ,         ,         ,         , 01:02.21, 01:00.33, 00:59.32, 00:58.02,   ,   ,   ,   ,  0,  0,  0,  0, 
    200 Fly,         ,         ,         ,         , 02:21.49, 02:17.09, 02:14.32, 02:10.89,   ,   ,   ,   ,  0,  0,  0,  0, 
     100 IM,         ,         ,         ,         ,         ,         ,         ,         ,   ,   ,   ,   ,   ,   ,   ,   , 
     200 IM,         ,         ,         ,         , 02:20.78, 02:17.18, 02:15.45, 02:12.21,   ,   ,   ,   ,  0,  0,  0,  0, 
     400 IM,         ,         ,         ,         , 05:04.71, 04:54.26, 04:50.46, 04:44.63,   ,   ,   ,   ,  0,  0,  0,  0, 
