Young Age,14
Old Age,17

Event,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,17,
50 Free,,,,,00:26.56,00:25.94,00:25.56,00:25.05,,,,,0,0,0,0,
100 Free,,,,,00:57.85,00:56.50,00:55.56,00:54.32,,,,,0,0,0,0,
200 Free,,,,,02:07.16,02:03.83,02:01.70,01:58.80,,,,,0,0,0,0,
400 Free,,,,,04:31.73,04:24.62,04:20.90,04:15.18,,,,,0,0,0,0,
800 Free,,,,,09:22.98,09:11.46,09:03.68,08:55.04,,,,,0,0,0,0,
1500 Free,,,,,17:54.69,17:37.53,17:19.17,17:08.48,,,,,0,0,0,0,
50 Back,,,,,00:29.29,00:29.29,00:29.29,00:29.29,,,,,3,2,1,0,
100 Back,,,,,01:05.87,01:04.12,01:03.33,01:01.31,,,,,0,0,0,0,
200 Back,,,,,02:22.79,02:19.18,02:17.30,02:14.32,,,,,0,0,0,0,
50 Breast,,,,,00:31.80,00:31.80,00:31.80,00:31.80,,,,,3,2,1,0,
100 Breast,,,,,01:14.14,01:12.01,01:10.54,01:09.46,,,,,0,0,0,0,
200 Breast,,,,,02:42.11,02:37.50,02:34.79,02:31.71,,,,,0,0,0,0,
50 Fly,,,,,00:27.24,00:27.24,00:27.24,00:27.24,,,,,3,2,1,0,
100 Fly,,,,,01:03.45,01:01.54,01:00.51,00:59.18,,,,,0,0,0,0,
200 Fly,,,,,02:24.32,02:19.83,02:17.01,02:13.51,,,,,0,0,0,0,
100 IM,,,,,,,,,,,,,,,,,
200 IM,,,,,02:23.60,02:19.92,02:18.16,02:14.85,,,,,0,0,0,0,
400 IM,,,,,05:10.80,05:00.15,04:56.27,04:50.32,,,,,0,0,0,0,
