Young Age,10
Old Age,13

Event,10,11,12,13,10,11,12,13,10,11,12,13,10,11,12,13
50 Free,34.48,31.77,29.35,28.07,35.16,32.41,29.94,28.63,0,0,0,0,0,0,0,0
100 Free,1:16.83,1:09.94,1:04.52,1:01.56,1:18.37,1:11.33,1:05.81,1:02.79,0,0,0,0,0,0,0,0
200 Free,2:51.00,2:33.66,2:20.86,2:15.44,2:54.42,2:36.73,2:23.67,2:18.15,0,0,0,0,0,0,0,0
400 Free,5:56.57,5:30.00,5:04.00,4:55.00,6:03.70,5:36.60,5:10.08,5:00.90,0,0,0,0,0,0,0,0
800 Free,11:34.43,11:34.43,10:23.51,10:03.80,11:48.31,11:48.31,10:35.98,10:15.88,1,0,0,0,1,0,0,0
100 Back,1:28.65,1:20.28,1:15.35,1:10.92,1:30.42,1:21.88,1:16.86,1:12.34,0,0,0,0,0,0,0,0
200 Back,3:15.03,2:53.36,2:40.06,2:34.65,3:18.93,2:56.83,2:43.26,2:37.74,0,0,0,0,0,0,0,0
100 Breast,1:41.46,1:33.58,1:25.70,1:22.25,1:43.48,1:35.45,1:27.41,1:23.89,0,0,0,0,0,0,0,0
200 Breast,3:24.88,3:24.88,3:04.19,2:57.30,3:28.98,3:28.98,3:07.88,3:00.85,1,0,0,0,1,0,0,0
100 Fly,1:35.55,1:24.71,1:15.85,1:11.41,1:37.46,1:26.40,1:17.36,1:12.84,0,0,0,0,0,0,0,0
200 Fly,3:31.78,3:31.78,2:56.32,2:47.45,3:36.01,3:36.01,2:59.84,2:50.80,1,0,0,0,1,0,0,0
100 IM,1:31.61,,,,,,,,0,,,,,,,
200 IM,3:12.00,2:55.00,2:43.00,2:35.50,3:15.84,2:58.50,2:46.26,2:38.61,0,0,0,0,0,0,0,0
400 IM,6:29.08,6:29.08,5:50.00,5:34.00,6:36.86,6:36.86,5:57.00,5:40.68,1,0,0,0,1,0,0,0
