Young Age, 19
Old Age  , 19

Event      ,       19,       19, 19, 19, 
    50 Free,         , 00:22.67,   ,  0, 
   100 Free,         , 00:50.03,   ,  0, 
   200 Free,         , 01:50.23,   ,  0, 
   400 Free,         , 03:53.58,   ,  0, 
   800 Free,         , 08:08.54,   ,  0, 
  1500 Free,         , 15:28.02,   ,  0, 
    50 Back,         ,         ,   ,   , 
   100 Back,         , 00:55.47,   ,  0, 
   200 Back,         , 02:01.03,   ,  0, 
  50 Breast,         ,         ,   ,   , 
 100 Breast,         , 01:01.73,   ,  0, 
 200 Breast,         , 02:14.26,   ,  0, 
     50 Fly,         ,         ,   ,   , 
    100 Fly,         , 00:53.52,   ,  0, 
    200 Fly,         , 01:59.97,   ,  0, 
     100 IM,         ,         ,   ,   , 
     200 IM,         , 02:03.26,   ,  0, 
     400 IM,         , 04:21.46,   ,  0, 
