Young Age,11
Old Age,17

Event,11,12,13,14,15,16,17,11,12,13,14,15,16,17,11,12,13,14,15,16,17,11,12,13,14,15,16,17
50 Free,00:35.00,00:35.00,00:30.28,00:30.28,00:28.46,00:28.46,00:28.46,00:36.05,00:36.05,00:31.19,00:31.19,00:29.31,00:29.31,00:29.31,1,0,1,0,2,1,0,1,0,1,0,2,1,0
100 Free,01:20.00,01:20.00,01:07.53,01:07.53,01:02.96,01:02.96,01:02.96,01:22.40,01:22.40,01:09.56,01:09.56,01:04.85,01:04.85,01:04.85,1,0,1,0,2,1,0,1,0,1,0,2,1,0
200 Free,02:52.00,02:52.00,02:29.37,02:29.37,02:23.44,02:23.44,02:23.44,02:57.16,02:57.16,02:33.85,02:33.85,02:27.74,02:27.74,02:27.74,1,0,1,0,2,1,0,1,0,1,0,2,1,0
400 Free,06:20.00,06:20.00,05:32.94,05:32.94,05:15.00,05:15.00,05:15.00,06:31.40,06:31.40,05:42.93,05:42.93,05:24.45,05:24.45,05:24.45,1,0,1,0,2,1,0,1,0,1,0,2,1,0
800 Free,13:30.00,13:30.00,11:30.00,11:30.00,11:00.00,11:00.00,11:00.00,13:54.30,13:54.30,11:50.70,11:50.70,11:19.80,11:19.80,11:19.80,1,0,1,0,2,1,0,1,0,1,0,2,1,0
1500 Free,22:00.00,22:00.00,22:00.00,22:00.00,21:30.00,21:30.00,21:30.00,22:39.60,22:39.60,22:39.60,22:39.60,22:08.70,22:08.70,22:08.70,3,2,1,0,2,1,0,3,2,1,0,2,1,0
50 Back
100 Back,01:30.00,01:30.00,01:21.19,01:21.19,01:18.00,01:18.00,01:18.00,01:32.70,01:32.70,01:23.63,01:23.63,01:20.34,01:20.34,01:20.34,1,0,1,0,2,1,0,1,0,1,0,2,1,0
200 Back,03:15.00,03:15.00,03:06.63,03:06.63,02:50.00,02:50.00,02:50.00,03:20.85,03:20.85,03:12.23,03:12.23,02:55.10,02:55.10,02:55.10,1,0,1,0,2,1,0,1,0,1,0,2,1,0
50 Breast
100 Breast,01:45.00,01:45.00,01:31.47,01:31.47,01:28.66,01:28.66,01:28.66,01:48.15,01:48.15,01:34.21,01:34.21,01:31.32,01:31.32,01:31.32,1,0,1,0,2,1,0,1,0,1,0,2,1,0
200 Breast,03:35.00,03:35.00,03:31.28,03:31.28,03:14.36,03:14.36,03:14.36,03:41.45,03:41.45,03:37.62,03:37.62,03:20.19,03:20.19,03:20.19,1,0,1,0,2,1,0,1,0,1,0,2,1,0
50 Fly
100 Fly,01:40.00,01:40.00,01:25.12,01:25.12,01:18.18,01:18.18,01:18.18,01:43.00,01:43.00,01:27.67,01:27.67,01:20.53,01:20.53,01:20.53,1,0,1,0,2,1,0,1,0,1,0,2,1,0
200 Fly,03:35.00,03:35.00,03:07.42,03:07.42,03:00.00,03:00.00,03:00.00,03:41.45,03:41.45,03:13.04,03:13.04,03:05.40,03:05.40,03:05.40,1,0,1,0,2,1,0,1,0,1,0,2,1,0
100 IM
200 IM,03:30.00,03:30.00,02:49.86,02:49.86,02:46.86,02:46.86,02:46.86,03:36.30,03:36.30,02:54.96,02:54.96,02:51.87,02:51.87,02:51.87,1,0,1,0,2,1,0,1,0,1,0,2,1,0
400 IM,07:00.00,07:00.00,05:56.46,05:56.46,05:45.00,05:45.00,05:45.00,07:12.60,07:12.60,06:07.15,06:07.15,05:55.35,05:55.35,05:55.35,1,0,1,0,2,1,0,1,0,1,0,2,1,0
