Young Age,13,,,,,,,,,,,,,,,
Old Age,16,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Event,13,14,15,16,13,14,15,16,13,14,15,16,13,14,15,16
50 Free,0.000339583,0.000339583,0.000324537,0.000324537,0.000349769,0.000349769,0.000334259,0.000334259,1,0,1,0,1,0,1,0
100 Free,0.00074919,0.00074919,0.000715278,0.000715278,0.000771644,0.000771644,0.00073669,0.00073669,1,0,1,0,1,0,1,0
200 Free,0.001649653,0.001649653,0.001584722,0.001584722,0.00169919,0.00169919,0.001632292,0.001632292,1,0,1,0,1,0,1,0
400 Free,0.003566319,0.003566319,0.003566319,0.003566319,0.003673264,0.003673264,0.003673264,0.003673264,1,0,1,0,1,0,1,0
1500 Free,0.014930556,0.014930556,0.014930556,0.014930556,0.015378472,0.015378472,0.015378472,0.015378472,1,0,1,0,1,0,1,0
100 Back,0.000886111,0.000886111,0.000887037,0.000887037,0.000912731,0.000912731,0.000913657,0.000913657,1,0,1,0,1,0,1,0
200 Back,0.001947685,0.001947685,0.001947685,0.001947685,0.002006134,0.002006134,0.002006134,0.002006134,1,0,1,0,1,0,1,0
100 Breast,0.000995255,0.000995255,0.001010301,0.001010301,0.001025116,0.001025116,0.001040625,0.001040625,1,0,1,0,1,0,1,0
200 Breast,0.002249537,0.002249537,0.002249537,0.002249537,0.002317014,0.002317014,0.002317014,0.002317014,1,0,1,0,1,0,1,0
100 Fly,0.000897569,0.000897569,0.000870833,0.000870833,0.000924537,0.000924537,0.000896991,0.000896991,1,0,1,0,1,0,1,0
200 Fly,0.002169213,0.002169213,0.002169213,0.002169213,0.002234259,0.002234259,0.002234259,0.002234259,1,0,1,0,1,0,1,0
200 IM,0.001870486,0.001870486,0.001858102,0.001858102,0.00192662,0.00192662,0.001913889,0.001913889,1,0,1,0,1,0,1,0
400 IM,0.004125694,0.004125694,0.004125694,0.004125694,0.004249421,0.004249421,0.004249421,0.004249421,1,0,1,0,1,0,1,0
