Young Age,13
Old Age,16

Event,13,14,15,16,13,14,15,16,13,14,15,16,13,14,15,16,
50 Free,00:27.05,00:26.38,00:25.85,00:25.59,00:27.75,00:27.08,00:26.55,00:26.29,0,0,0,0,0,0,0,0,
100 Free,00:59.68,00:58.18,00:57.02,00:56.45,01:01.28,00:59.78,00:58.62,00:58.05,0,0,0,0,0,0,0,0,
200 Free,02:11.58,02:08.29,02:05.73,02:04.47,02:14.98,02:11.69,02:09.13,02:01.87,0,0,0,0,0,0,0,0,
400 Free,04:40.47,04:30.65,04:23.21,04:17.95,04:47.97,04:38.15,04:30.71,04:25.45,0,0,0,0,0,0,0,0,
800 Free,09:57.47,09:36.56,09:20.70,09:09.49,10:13.47,09:52.56,09:36.70,09:25.49,0,0,0,0,0,0,0,0,
1500 Free,18:43.37,18:04.05,17:34.24,17:13.16,19:13.37,18:34.05,18:04.24,17:43.16,0,0,0,0,0,0,0,0,
50 Back,,,,,,,,,,,,,,,,,
100 Back,01:09.12,01:07.39,01:06.04,01:05.38,01:11.52,01:09.79,01:08.44,01:07.78,0,0,0,0,0,0,0,0,
200 Back,02:30.32,02:26.56,02:23.63,02:20.76,02:35.22,02:31.46,02:28.53,02:25.66,0,0,0,0,0,0,0,0,
50 Breast,,,,,,,,,,,,,,,,,
100 Breast,01:16.03,01:13.75,01:11.91,01:10.47,01:18.03,01:15.75,01:13.91,01:12.47,0,0,0,0,0,0,0,0,
200 Breast,02:47.93,02:42.05,02:37.59,02:34.44,02:51.93,02:46.05,02:41.59,02:38.44,0,0,0,0,0,0,0,0,
50 Fly,,,,,,,,,,,,,,,,,
100 Fly,01:08.37,01:06.32,01:04.66,01:03.37,01:09.67,01:07.62,01:05.96,01:04.67,0,0,0,0,0,0,0,0,
200 Fly,02:39.57,02:33.98,02:29.75,02:26.76,02:42.67,02:37.08,02:32.85,02:29.85,0,0,0,0,0,0,0,0,
100 IM,,,,,,,,,,,,,,,,,
200 IM,02:28.26,02:23.07,02:19.13,02:16.35,02:31.76,02:26.57,02:22.63,02:19.85,0,0,0,0,0,0,0,0,
400 IM,05:22.51,05:11.22,05:02.66,04:56.61,05:31.31,05:20.02,05:11.46,05:05.41,0,0,0,0,0,0,0,0,
