Young Age,17
Old Age,17

Event,17,17,17,17,
50 Free,00:25.33,00:26.03,0,0,
100 Free,00:55.89,00:57.49,0,0,
200 Free,02:03.23,02:06.63,0,0,
400 Free,04:15.37,04:22.87,0,0,
800 Free,09:03.99,09:19.83,0,0,
1500 Free,17:02.82,17:32.52,0,0,
50 Back,00:28.41,00:29.29,0,0,
100 Back,01:04.73,01:07.13,0,0,
200 Back,02:19.35,02:24.25,0,0,
50 Breast,00:30.85,00:31.80,0,0,
100 Breast,01:09.77,01:11.77,0,0,
200 Breast,02:32.90,02:36.90,0,0,
50 Fly,00:26.42,00:27.24,0,0,
100 Fly,01:02.73,01:04.03,0,0,
200 Fly,02:25.29,02:28.39,0,0,
100 IM,,,,,
200 IM,02:14.99,02:18.49,0,0,
400 IM,04:53.64,05:02.44,0,0,
