Young Age,12
Old Age,17

Event,12,13,14,15,16,17,12,13,14,15,16,17,12,13,14,15,16,17,12,13,14,15,16,17
50 Free,28.25,28.25,28.25,28.25,27.53,26.64,28.84,28.84,28.84,28.84,28.09,27.19,3,2,1,0,0,0,3,2,1,0,0,0
100 Free,1:01.25,1:01.25,1:01.25,1:01.25,59.73,57.72,1:02.51,1:02.51,1:02.51,1:02.51,1:00.95,58.89,3,2,1,0,0,0,3,2,1,0,0,0
200 Free,2:49.87,2:35.79,2:22.30,2:13.98,2:10.47,2:05.86,2:53.34,2:38.98,2:25.21,2:16.71,2:13.13,2:08.43,0,0,0,0,0,0,0,0,0,0,0,0
400 Free,5:58.58,5:28.88,5:04.52,4:47.35,4:38.89,4:30.35,6:07.74,5:37.28,5:10.88,4:53.22,4:44.58,4:35.87,0,0,0,0,0,0,0,0,0,0,0,0
800 Free,12:35.61,11:33.02,10:27.70,9:50.41,9:39.77,9:30.87,12:51.50,11:47.58,10:40.51,10:02.45,9:51.60,9:42.52,0,0,0,0,0,0,0,0,0,0,0,0
1500 Free,24:03.61,22:04.32,20:21.92,19:11.58,18:47.69,18:13.17,24:33.41,22:31.35,20:46.86,19:35.08,19:10.70,18:35.48,0,0,0,0,0,0,0,0,0,0,0,0
50 Back,33.15,33.15,33.15,33.15,32.15,31.45,33.82,33.82,33.82,33.82,32.80,32.43,3,2,1,0,0,0,3,2,1,0,0,0
100 Back,1:09.89,1:09.89,1:09.89,1:09.89,1:08.02,1:05.59,1:11.25,1:11.25,1:11.25,1:11.25,1:09.41,1:06.92,3,2,1,0,0,0,3,2,1,0,0,0
200 Back,3:12.03,2:56.13,2:42.44,2:31.12,2:27.42,2:22.91,3:15.95,2:59.72,2:45.76,2:34.93,2:30.43,2:25.83,0,0,0,0,0,0,0,0,0,0,0,0
50 Breast,36.34,36.34,36.34,36.34,35.73,35.32,37.09,37.09,37.09,37.09,36.45,36.05,3,2,1,0,0,0,3,2,1,0,0,0
100 Breast,1:19.22,1:19.22,1:19.22,1:19.22,1:16.97,1:14.48,1:20.84,1:20.84,1:20.84,1:20.84,1:18.54,1:16.00,3,2,1,0,0,0,3,2,1,0,0,0
200 Breast,3:38.30,3:20.22,3:04.67,2:52.52,2:48.06,2:42.55,3:42.76,3:24.31,3:08.44,2:56.04,2:51.48,2:45.86,0,0,0,0,0,0,0,0,0,0,0,0
50 Fly,30.50,30.50,30.50,30.50,29.82,29.05,31.12,31.12,31.12,31.12,30.44,29.64,3,2,1,0,0,0,3,2,1,0,0,0
100 Fly,1:07.13,1:07.13,1:07.13,1:07.13,1:05.21,1:02.91,1:08.49,1:08.49,1:08.49,1:08.49,1:06.53,1:04.20,3,2,1,0,0,0,3,2,1,0,0,0
200 Fly,3:17.24,2:57.97,2:44.15,2:32.64,2:27.44,2:21.45,3:21.27,3:01.60,2:47.50,2:35.75,2:30.45,2:24.34,0,0,0,0,0,0,0,0,0,0,0,0
200 IM,3:13.09,2:57.09,2:41.00,2:32.65,2:28.31,2:22.82,3:17.02,3:00.70,2:44.28,2:35.76,2:31.34,2:25.74,0,0,0,0,0,0,0,0,0,0,0,0
400 IM,6:51.70,6:17.60,5:46.67,5:26.42,5:17.99,5:08.13,7:00.11,6:25.31,5:54.06,5:33.09,5:24.47,5:14.43,0,0,0,0,0,0,0,0,0,0,0,0
