Young Age,18
Old Age,18

Event,18,18,18,18,
50 Free,00:24.06,00:24.84,0,0,
100 Free,00:52.36,00:53.71,0,0,
200 Free,01:54.53,01:58.27,0,0,
400 Free,04:04.99,04:13.64,0,0,
800 Free,08:40.00,08:50.40,0,0,
1500 Free,16:26.65,17:06.21,0,0,
50 Back,00:27.16,00:28.74,0,0,
100 Back,00:58.30,01:01.18,0,0,
200 Back,02:06.21,02:13.01,0,0,
50 Breast,00:30.27,00:31.15,0,0,
100 Breast,01:05.83,01:08.20,0,0,
200 Breast,02:22.99,02:28.97,0,0,
50 Fly,00:25.99,00:26.76,0,0,
100 Fly,00:57.61,00:58.50,0,0,
200 Fly,02:08.47,02:12.49,0,0,
100 IM,,,,,
200 IM,02:09.29,02:14.55,0,0,
400 IM,04:37.44,04:47.54,0,0,
