Young Age,15
Old Age,24

Event,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24
50 Free,,,,,,,,,,,00:23.48,00:23.48,00:23.48,00:23.48,00:23.13,00:22.84,00:22.59,00:22.38,00:22.22,00:22.10,,,,,,,,,,,3,2,1,0,0,0,0,0,0,0
200 Free,,,,,,,,,,,01:55.69,01:53.60,01:51.79,01:50.26,01:48.99,01:47.96,01:47.15,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Free,,,,,,,,,,,00:52.66,00:52.66,00:51.66,00:50.80,00:50.07,00:49.46,00:48.97,00:48.58,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
400 Free,,,,,,,,,,,04:06.73,04:01.72,03:57.49,03:54.02,03:51.20,03:49.02,03:47.43,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
1500 Free,,,,,,,,,,,16:25.16,16:03.20,15:44.80,15:29.77,15:17.75,15:08.56,15:01.97,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Back,,,,,,,,,,,00:58.59,00:58.59,00:57.41,00:56.42,00:55.59,00:54.92,00:54.39,00:53.99,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
200 Back,,,,,,,,,,,02:07.45,02:04.98,02:02.86,02:01.09,01:59.63,01:58.46,01:57.58,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Breast,,,,,,,,,,,01:05.37,01:05.37,01:05.37,01:03.99,01:02.85,01:01.92,01:01.19,01:00.64,01:00.26,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0
200 Breast,,,,,,,,,,,02:27.39,02:23.28,02:19.80,02:16.91,02:14.54,02:12.67,02:11.26,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
200 IM,,,,,,,,,,,02:08.46,02:08.46,02:06.13,02:04.20,02:02.61,02:01.36,02:00.43,01:59.77,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
400 IM,,,,,,,,,,,04:43.29,04:36.17,04:30.34,04:25.72,04:22.18,04:19.63,04:17.88,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Fly,,,,,,,,,,,00:57.33,00:57.33,00:55.98,00:54.84,00:53.91,00:53.14,00:52.54,00:52.08,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
200 Fly,,,,,,,,,,,02:06.55,02:06.55,02:03.59,02:01.23,01:59.41,01:58.07,01:57.21,01:56.72,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
