Young Age,15
Old Age,17

Event,     15,     16,     17,     15,     16,     17,15,16,17,15,16,17,
50 Free,,,,00:25.08,00:25.08,00:24.24,,,,1,0,0,
100 Free,,,,00:55.81,00:55.27,00:53.71,,,,0,0,0,
200 Free,,,,02:00.03,01:58.87,01:54.85,,,,0,0,0,
400 Free,,,,04:13.95,04:11.51,04:03.27,,,,0,0,0,
800 Free,,,,,,,,,,,,,
1500 Free,,,,16:55.01,16:45.25,16:11.14,,,,0,0,0,
50 Back,,,,,,,,,,,,,
100 Back,,,,01:01.64,01:01.05,00:58.83,,,,0,0,0,
200 Back,,,,02:13.45,02:12.17,02:07.15,,,,0,0,0,
50 Breast,,,,,,,,,,,,,
100 Breast,,,,01:08.61,01:07.95,01:05.75,,,,0,0,0,
200 Breast,,,,02:31.12,02:29.67,02:23.07,,,,0,0,0,
50 Fly,,,,,,,,,,,,,
100 Fly,,,,00:59.14,00:58.58,00:56.73,,,,0,0,0,
200 Fly,,,,02:11.90,02:10.63,02:06.04,,,,0,0,0,
100 IM,,,,,,,,,,,,,
200 IM,,,,02:15.09,02:13.79,02:09.19,,,,0,0,0,
400 IM,,,,04:44.28,04:41.55,04:32.41,,,,0,0,0,
