Young Age,13
Old Age,17

Event,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17
50 Free,28.03,27.20,26.70,25.71,25.39,28.59,27.74,27.24,26.23,25.90,0,0,0,0,0,0,0,0,0,0
100 Free,1:01.35,59.24,57.85,56.01,55.18,1:02.58,1:00.74,59.01,57.14,56.28,0,0,0,0,0,0,0,0,0,0
200 Free,2:14.37,2:10.29,2:06.06,2:02.42,2:00.94,2:17.05,2:12.89,2:08.58,2:04.87,2:03.35,0,0,0,0,0,0,0,0,0,0
400 Free,4:47.58,4:38.62,4:31.00,4:24.61,4:20.89,4:53.33,4:44.20,4:36.42,4:29.91,4:26.12,0,0,0,0,0,0,0,0,0,0
800 Free,10:00.52,9:44.73,9:27.52,9:12.17,9:06.65,10:12.53,9:56.42,9:38.87,9:23.22,9:17.59,0,0,0,0,0,0,0,0,0,0
1500 Free,19:18.41,18:41.02,18:08.03,17:38.60,17:28.02,19:41.58,19:03.43,18:29.79,17:59.78,17:48.98,0,0,0,0,0,0,0,0,0,0
100 Back,1:09.95,1:08.04,1:06.27,1:03.41,1:02.69,1:11.36,1:09.40,1:07.60,1:04.68,1:03.95,0,0,0,0,0,0,0,0,0,0
200 Back,2:31.18,2:27.41,2:23.99,2:17.86,2:16.38,2:34.20,2:30.36,2:26.87,2:20.62,2:19.12,0,0,0,0,0,0,0,0,0,0
100 Breast,1:20.33,1:17.39,1:16.52,1:13.12,1:12.39,1:21.94,1:18.93,1:18.06,1:14.59,1:13.83,0,0,0,0,0,0,0,0,0,0
200 Breast,2:53.42,2:48.73,2:46.34,2:39.33,2:37.71,2:56.89,2:52.11,2:49.66,2:42.52,2:40.87,0,0,0,0,0,0,0,0,0,0
100 Fly,1:09.93,1:07.02,1:04.93,1:02.77,1:02.13,1:11.34,1:08.36,1:06.23,1:04.03,1:03.37,0,0,0,0,0,0,0,0,0,0
200 Fly,2:37.78,2:34.66,2:30.48,2:21.17,2:19.75,2:40.94,2:37.76,2:33.48,2:23.99,2:22.55,0,0,0,0,0,0,0,0,0,0
200 IM,2:33.36,2:27.82,2:24.06,2:19.70,2:17.20,2:36.42,2:30.78,2:26.95,2:22.50,2:19.95,0,0,0,0,0,0,0,0,0,0
400 IM,5:26.46,5:17.82,5:12.83,5:05.34,5:02.29,5:32.98,5:24.18,5:19.08,5:11.44,5:08.34,0,0,0,0,0,0,0,0,0,0
