Young Age,13
Old Age,17

Event,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17
50 Free,27.82,27.01,26.38,25.34,25.09,28.37,27.54,26.91,25.85,25.59,0,0,0,0,0,0,0,0,0,0
100 Free,1:00.65,58.63,57.17,55.08,54.53,1:01.86,59.80,58.31,56.18,55.62,0,0,0,0,0,0,0,0,0,0
200 Free,2:13.44,2:08.65,2:04.42,2:00.72,1:59.52,2:16.11,2:11.23,2:06.91,2:03.13,2:01.91,0,0,0,0,0,0,0,0,0,0
400 Free,4:41.21,4:33.71,4:27.34,4:20.42,4:17.84,4:46.84,4:39.18,4:32.68,4:25.63,4:23.00,0,0,0,0,0,0,0,0,0,0
800 Free,9:47.44,9:31.98,9:15.16,9:00.14,8:54.79,9:59.18,9:43.43,9:26.26,9:10.94,9:05.49,0,0,0,0,0,0,0,0,0,0
1500 Free,18:53.17,18:16.59,17:44.32,17:15.53,17:05.28,19:15.83,18:38.51,18:05.61,17:36.25,17:25.79,0,0,0,0,0,0,0,0,0,0
100 Back,1:09.47,1:07.57,1:05.48,1:02.58,1:01.96,1:10.86,1:08.92,1:06.79,1:03.83,1:03.20,0,0,0,0,0,0,0,0,0,0
200 Back,2:28.88,2:26.39,2:22.28,2:16.14,2:14.79,2:31.86,2:29.32,2:25.13,2:18.86,2:17.49,0,0,0,0,0,0,0,0,0,0
100 Breast,1:19.77,1:16.85,1:15.61,1:12.26,1:11.54,1:21.37,1:18.39,1:17.12,1:13.70,1:12.97,0,0,0,0,0,0,0,0,0,0
200 Breast,2:50.94,2:47.57,2:44.36,2:37.43,2:35.87,2:54.37,2:50.92,2:47.64,2:40.58,2:38.99,0,0,0,0,0,0,0,0,0,0
100 Fly,1:09.45,1:06.56,1:04.17,1:02.01,1:01.40,1:10.84,1:07.89,1:05.45,1:03.26,1:02.63,0,0,0,0,0,0,0,0,0,0
200 Fly,2:36.35,2:33.59,2:28.68,2:19.49,2:18.11,2:39.48,2:36.66,2:31.65,2:22.28,2:20.87,0,0,0,0,0,0,0,0,0,0
200 IM,2:30.02,2:25.65,2:22.35,2:16.95,2:15.59,2:33.02,2:28.56,2:25.20,2:19.68,2:18.30,0,0,0,0,0,0,0,0,0,0
400 IM,5:19.34,5:10.90,5:06.01,4:58.69,4:55.73,5:25.73,5:17.12,5:12.13,5:04.66,5:01.64,0,0,0,0,0,0,0,0,0,0
