Young Age,14
Old Age,17

Event,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,17
50 Free,26.15,25.52,25.15,24.43,26.68,26.04,25.66,24.93,0,0,0,0,0,0,0,0
100 Free,56.96,55.44,54.61,53.12,58.12,56.57,55.72,54.20,0,0,0,0,0,0,0,0
200 Free,2:04.91,2:01.54,1:59.41,1:55.86,2:07.46,2:04.02,2:01.85,1:58.22,0,0,0,0,0,0,0,0
400 Free,4:27.30,4:20.24,4:15.32,4:08.85,4:32.76,4:25.55,4:20.53,4:13.93,0,0,0,0,0,0,0,0
800 Free,9:17.89,9:06.02,8:57.57,8:51.51,9:29.28,9:17.16,9:08.54,9:02.36,0,0,0,0,0,0,0,0
1500 Free,17:55.02,17:25.76,17:04.87,16:43.52,18:16.96,17:47.10,17:25.79,17:04.00,0,0,0,0,0,0,0,0
100 Back,1:04.84,1:03.09,1:01.99,59.97,1:06.16,1:04.38,1:03.26,1:01.19,0,0,0,0,0,0,0,0
200 Back,2:21.15,2:17.40,2:14.97,2:11.00,2:24.03,2:20.20,2:17.72,2:13.67,0,0,0,0,0,0,0,0
100 Breast,1:13.36,1:11.19,1:09.87,1:08.01,1:14.86,1:12.64,1:11.30,1:09.40,0,0,0,0,0,0,0,0
200 Breast,2:40.58,2:35.68,2:32.96,2:28.27,2:43.86,2:38.86,2:36.08,2:31.30,0,0,0,0,0,0,0,0
100 Fly,1:02.48,1:00.52,59.50,57.72,1:03.75,1:01.76,1:00.71,58.90,0,0,0,0,0,0,0,0
200 Fly,2:22.77,2:17.90,2:14.97,2:10.19,2:25.68,2:20.71,2:17.72,2:12.85,0,0,0,0,0,0,0,0
200 IM,2:21.56,2:17.99,2:15.57,2:11.51,2:24.45,2:20.81,2:18.34,2:14.19,0,0,0,0,0,0,0,0
400 IM,5:04.20,4:55.80,4:51.11,4:43.12,5:10.41,5:01.84,4:57.05,4:48.90,0,0,0,0,0,0,0,0
