Young Age,10
Old Age,15

Event,10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15
50 Free,39.65,36.54,33.75,30.88,28.97,28.45,40.43,37.27,34.43,31.49,29.56,29.02,0,0,0,0,0,0,0,0,0,0,0,0
100 Free,1:28.35,1:20.43,1:14.20,1:07.72,1:03.12,1:01.63,1:30.13,1:22.03,1:15.68,1:09.07,1:04.71,1:02.87,0,0,0,0,0,0,0,0,0,0,0,0
200 Free,3:16.65,2:56.71,2:41.99,2:28.98,2:18.81,2:14.30,3:17.57,3:00.24,2:45.22,2:31.97,2:21.58,2:16.98,0,0,0,0,0,0,0,0,0,0,0,0
400 Free,6:50.06,6:19.50,5:49.60,5:24.50,4:56.84,4:48.72,6:58.26,6:27.09,5:56.59,5:30.99,5:02.78,4:54.49,0,0,0,0,0,0,0,0,0,0,0,0
800 Free,13:18.59,13:18.59,11:57.04,11:04.18,10:22.95,10:04.63,13:34.56,13:34.56,12:11.38,11:17.47,10:35.42,10:16.72,1,0,0,0,0,0,1,0,0,0,0,0
1500 Free,19:54.30,19:54.30,19:54.30,19:54.30,19:54.30,19:19.16,20:18.18,20:18.18,20:18.18,20:18.18,20:18.18,19:42.35,4,3,2,1,0,0,4,3,2,1,0,0
100 Back,1:41.95,1:32.32,1:26.65,1:18.01,1:12.49,1:10.60,1:43.98,1:34.16,1:28.39,1:19.57,1:13.94,1:12.02,0,0,0,0,0,0,0,0,0,0,0,0
200 Back,3:44.28,3:19.36,3:04.07,2:50.12,2:37.05,2:33.41,3:48.77,3:23.35,3:07.75,2:53.51,1:40.19,2:36.48,0,0,0,0,0,0,0,0,0,0,0,0
100 Breast,1:56.68,1:47.62,1:38.56,1:30.48,1:22.45,1:21.52,1:59.00,1:49.77,1:40.52,1:32.28,1:24.10,1:23.16,0,0,0,0,0,0,0,0,0,0,0,0
200 Breast,3:55.61,3:55.61,3:31.82,3:15.03,2:59.76,2:57.21,4:00.33,4:00.33,3:36.06,3:18.94,3:03.36,3:00.75,1,0,0,0,0,0,1,0,0,0,0,0
100 Fly,1:49.88,1:37.42,1:27.23,1:18.55,1:11.40,1:09.18,1:52.08,1:39.36,1:28.96,1:20.12,1:12.83,1:10.57,0,0,0,0,0,0,0,0,0,0,0,0
200 Fly,4:03.55,4:03.55,3:22.77,3:04.19,2:44.77,2:40.31,4:08.41,4:08.41,3:26.82,3:07.88,3:48.07,2:43.52,1,0,0,0,0,0,1,0,0,0,0,0
100 IM,1:45.35,,,,,,,,,,,,0,,,,,,,,,,,
200 IM,3:40.80,3:21.25,3:07.45,2:51.05,2:37.49,2:33.48,3:45.22,3:25.28,3:11.20,2:54.46,2:40.83,2:36.55,0,0,0,0,0,0,0,0,0,0,0,0
400 IM,7:27.44,7:27.44,6:42.50,6:07.40,5:38.60,5:33.28,7:36.39,7:36.39,6:50.55,6:14.75,5:45.38,5:39.94,1,0,0,0,0,0,1,0,0,0,0,0
