Young Age,18
Old Age,19

Event,18,19,18,19,18,19,18,19
50 Free,,,00:24.56,00:23.95,,,0,0
100 Free,,,00:53.25,00:51.79,,,0,0
200 Free,,,01:56.47,01:53.63,,,0,0
400 Free,,,04:10.18,04:03.10,,,0,0
800 Free,,,08:44.55,08:40.28,,,0,0
1500 Free,,,16:48.31,16:23.72,,,0,0
50 Back,,,00:28.23,00:27.80,,,0,0
100 Back,,,01:00.11,00:58.88,,,0,0
200 Back,,,02:11.69,02:08.48,,,0,0
50 Breast,,,00:31.04,00:30.15,,,0,0
100 Breast,,,01:08.10,01:05.49,,,0,0
200 Breast,,,02:28.74,02:22.41,,,0,0
50 Fly,,,00:26.35,00:25.75,,,0,0
100 Fly,,,00:58.02,00:56.33,,,0,0
200 Fly,,,02:10.89,02:06.55,,,0,0
100 IM
200 IM,,,02:12.21,02:09.02,,,0,0
400 IM,,,04:44.63,04:37.96,,,0,0
