Young Age,15
Old Age,17

Event,15,16,17,15,16,17,15,16,17,15,16,17
50 Free,,,,25.08,24.47,23.95,0,0,0,0,0,0
100 Free,,,,54.46,53.10,51.79,0,0,0,0,0,0
200 Free,,,,1:58.82,1:56.20,1:53.63,0,0,0,0,0,0
400 Free,,,,4:15.15,4:08.73,4:03.36,0,0,0,0,0,0
800 Free,,,,8:45.75,8:45.75,8:45.75,2,1,0,2,1,0
1500 Free,,,,17:03.69,16:33.23,16:23.72,0,0,0,0,0,0
50 Back,,,,27.80,27.80,27.80,2,1,0,2,1,0
100 Back,,,,1:01.18,1:00.57,58.88,0,0,0,0,0,0
200 Back,,,,2:13.04,2:11.48,2:08.60,0,0,0,0,0,0
50 Breast,,,,30.15,30.15,30.15,2,1,0,2,1,0
100 Breast,,,,1:08.87,1:06.80,1:05.49,0,0,0,0,0,0
200 Breast,,,,2:30.13,2:24.77,2:22.49,0,0,0,0,0,0
50 Fly,,,,25.86,25.86,25.86,2,1,0,2,1,0
100 Fly,,,,58.47,57.23,56.33,0,0,0,0,0,0
200 Fly,,,,2:13.51,2:07.99,2:06.65,0,0,0,0,0,0
200 IM,,,,2:15.50,2:11.19,2:09.02,0,0,0,0,0,0
400 IM,,,,4:50.98,4:40.06,4:38.18,0,0,0,0,0,0
