Young Age,17
Old Age,17

Event,17,17,17,17,
50 Free,00:23.12,00:23.81,0,0,
100 Free,00:50.48,00:51.99,0,0,
200 Free,01:50.39,01:53.70,0,0,
400 Free,03:55.80,04:02.87,0,0,
800 Free,,,,,
1500 Free,15:55.63,16:24.30,0,0,
50 Back,00:25.87,00:26.65,0,0,
100 Back,00:55.66,00:57.33,0,0,
200 Back,02:02.29,02:05.96,0,0,
50 Breast,00:28.89,00:29.76,0,0,
100 Breast,01:02.83,01:04.71,0,0,
200 Breast,02:17.52,02:21.65,0,0,
50 Fly,00:24.93,00:25.68,0,0,
100 Fly,00:55.24,00:56.90,0,0,
200 Fly,02:03.02,02:06.71,0,0,
100 IM,,,,,
200 IM,02:04.06,02:07.78,0,0,
400 IM,04:25.44,04:33.52,0,0,
