100m Medley,25m,1:48.42,102,17 Dec 2011,Gatineau,Invitation de Noel Prov. ...,Medley,100
200m Medley,25m,2:15.53,529,11 Dec 2016,Pointe-Claire,AA-AAA Invitation Pointe-Claire,Medley,200
400m Medley,25m,4:48.02,546,9 Dec 2016,Pointe-Claire,AA-AAA Invitation Pointe-Claire,Medley,400
50m Freestyle,25m,26.71,436,4 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Freestyle,50
100m Freestyle,25m,57.65,473,10 Dec 2016,Pointe-Claire,AA-AAA Invitation Pointe-Claire,Freestyle,100
200m Freestyle,25m,2:08.58,461,25 Nov 2016,Montreal-Nord,Invitation provinciale AA et AAA ...,Freestyle,200
400m Freestyle,25m,4:33.26,468,12 Dec 2015,Pointe-Claire,Invitation Provinciale AAA ...,Freestyle,400
800m Freestyle,25m,9:26.63,479,7 Nov 2015,Ottawa,ROC Swimming Duel,Freestyle,800
1500m Freestyle,25m,18:39.13,435,31 Jan 2016,Belleville,Eastern Ontario Short Course ...,Freestyle,1500
50m Butterfly,25m,33.71,270,30 Jan 2015,Belleville,Eastern Ontario Regional SC ...,Butterfly,50
100m Butterfly,25m,1:08.72,350,18 Oct 2015,Nepean,NKB Short Course Fall Invitational,Butterfly,100
200m Butterfly,25m,2:28.78,388,5 Nov 2016,Ottawa,ROC Swimming Duel,Butterfly,200
50m Breaststroke,25m,31.52,514,9 Dec 2016,Pointe-Claire,AA-AAA Invitation Pointe-Claire,Breaststroke,50
100m Breaststroke,25m,1:10.75,485,26 Nov 2016,Montreal-Nord,Invitation provinciale AA et AAA ...,Breaststroke,100
200m Breaststroke,25m,2:33.97,479,12 Dec 2015,Pointe-Claire,Invitation Provinciale AAA ...,Breaststroke,200
50m Backstroke,25m,30.14,400,3 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Backstroke,50
100m Backstroke,25m,1:05.59,414,11 Dec 2015,Pointe-Claire,Invitation Provinciale AAA ...,Backstroke,100
200m Backstroke,25m,2:22.42,407,16 Oct 2016,Nepean,Kanata Barracudas Short Course ...,Backstroke,200
200m Medley,50m,2:19.14,549,11 Dec 2016,Pointe-Claire,AA-AAA Invitation Pointe-Claire,Medley,200
400m Medley,50m,5:04.30,514,9 Dec 2016,Pointe-Claire,AA-AAA Invitation Pointe-Claire,Medley,400
50m Freestyle,50m,27.95,418,5 Mar 2016,Nepean,Ontario Spring LC Championships,Freestyle,50
100m Freestyle,50m,59.16,498,13 May 2017,Nepean,Festival of Spring,Freestyle,100
200m Freestyle,50m,2:11.04,471,10 Apr 2016,Nepean,OYO Long Course Invitational,Freestyle,200
400m Freestyle,50m,4:47.42,448,1 Apr 2016,Nepean,Welcome to Long Course ...,Freestyle,400
800m Freestyle,50m,9:58.94,430,1 Apr 2016,Nepean,Welcome to Long Course ...,Freestyle,800
1500m Freestyle,50m,19:14.31,429,7 Jun 2015,Nepean,Eastern Long Course Regional ...,Freestyle,1500
50m Butterfly,50m,32.79,320,12 Apr 2015,Nepean,OYO Long Course Invitational,Butterfly,50
100m Butterfly,50m,1:07.70,398,1 Apr 2017,Nepean,Welcome to Long Course ...,Butterfly,100
50m Breaststroke,50m,33.20,503,9 Dec 2016,Pointe-Claire,AA-AAA Invitation Pointe-Claire,Breaststroke,50
100m Breaststroke,50m,1:12.02,520,5 Mar 2016,Nepean,Ontario Spring LC Championships,Breaststroke,100
200m Breaststroke,50m,2:37.24,527,3 Mar 2016,Nepean,Ontario Spring LC Championships,Breaststroke,200
50m Backstroke,50m,31.81,431,22 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Backstroke,50
100m Backstroke,50m,1:08.87,428,1 Apr 2017,Nepean,Welcome to Long Course ...,Backstroke,100
200m Backstroke,50m,2:31.53,402,7 Jun 2015,Nepean,Eastern Long Course Regional ...,Backstroke,200
