100m Medley,25m,1:14.55,435,14 Oct 2018,Courtenay,Sharks Thanksgiving Challenge,Medley,100
200m Medley,25m,2:26.07,580,24 Jan 2020,Victoria,Vancouver Island Regional SC ...,Medley,200
400m Medley,25m,5:15.72,551,14 Nov 2021,Victoria,Bennett Cup,Medley,400
50m Freestyle,25m,26.83,624,17 Dec 2022,Toronto,Ontario Junior International,Freestyle,50
100m Freestyle,25m,58.16,644,11 Nov 2022,Victoria,Bennett Cup,Freestyle,100
200m Freestyle,25m,2:05.94,671,12 Nov 2022,Victoria,Bennett Cup,Freestyle,200
400m Freestyle,25m,4:37.16,601,27 Jan 2019,Victoria,Vancouver Island Regional SC ...,Freestyle,400
800m Freestyle,25m,9:39.68,565,25 Jan 2019,Victoria,Vancouver Island Regional SC ...,Freestyle,800
50m Butterfly,25m,28.08,654,13 Nov 2022,Victoria,Bennett Cup,Butterfly,50
100m Butterfly,25m,1:06.39,555,26 Jan 2020,Victoria,Vancouver Island Regional SC ...,Butterfly,100
200m Butterfly,25m,2:41.40,406,22 Jun 2019,Duncan,June Jamboree,Butterfly,200
50m Breaststroke,25m,35.73,510,4 Oct 2022,Toronto,Tuesday Night at the Races II,Breaststroke,50
100m Breaststroke,25m,1:18.19,507,20 Dec 2022,Toronto,Tuesday Night at the Races VI,Breaststroke,100
200m Breaststroke,25m,2:53.62,465,17 Jan 2020,Duncan,DST's Last Chance Qualifier,Breaststroke,200
50m Backstroke,25m,28.41,703,2 May 2023,Toronto,Tuesday Night at the Races VII,Backstroke,50
100m Backstroke,25m,1:00.64,741,20 Dec 2022,Toronto,Tuesday Night at the Races VI,Backstroke,100
200m Backstroke,25m,2:12.10,729,27 Nov 2022,Quebec,Coupe du Quebec Senior,Backstroke,200
200m Medley,50m,2:30.61,587,27 May 2022,Toronto,SCAR Pan Am Invitational,Medley,200
400m Medley,50m,6:19.96,344,19 May 2017,Victoria,ISC Medley Challenge,Medley,400
50m Freestyle,50m,27.40,644,28 Jul 2019,Calgary,Canadian Junior Championships,Freestyle,50
100m Freestyle,50m,59.96,641,25 Jul 2019,Calgary,Canadian Junior Championships,Freestyle,100
200m Freestyle,50m,2:09.68,661,8 Jul 2022,Toronto,Ontario Provincial Championships,Freestyle,200
400m Freestyle,50m,4:40.88,596,27 May 2022,Toronto,SCAR Pan Am Invitational,Freestyle,400
800m Freestyle,50m,10:03.92,517,7 Mar 2019,Winnipeg,Prairie Winter International,Freestyle,800
50m Butterfly,50m,28.27,645,2 Apr 2023,Toronto,Canadian Trials,Butterfly,50
100m Butterfly,50m,1:06.38,583,7 Jul 2019,Victoria,BC Summer Provincial ...,Butterfly,100
200m Butterfly,50m,3:03.51,292,11 Jun 2017,Nanaimo,NRST Summer Invite,Butterfly,200
50m Breaststroke,50m,38.85,428,25 May 2019,Victoria,ISC Medley Challenge,Breaststroke,50
100m Breaststroke,50m,1:22.97,461,20 Jan 2023,Toronto,Grand Prix,Breaststroke,100
200m Breaststroke,50m,3:05.15,422,5 Mar 2020,Victoria,Winter Provincial Championships,Breaststroke,200
50m Backstroke,50m,30.09,720,25 Nov 2022,Quebec,Coupe du Quebec Senior,Backstroke,50
100m Backstroke,50m,1:04.17,717,2 Mar 2023,Scarborough,Winter Ontario Swimming ...,Backstroke,100
200m Backstroke,50m,2:16.55,737,1 Apr 2023,Toronto,Canadian Trials,Backstroke,200
