100m Medley,25m,1:23.98,304,17 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Medley,100
200m Medley,25m,2:35.86,477,9 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Medley,200
400m Medley,25m,5:20.33,528,7 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Medley,400
50m Freestyle,25m,30.63,419,3 Nov 2018,Ottawa,ROC Swimming Duel Meet,Freestyle,50
100m Freestyle,25m,1:03.60,493,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Freestyle,100
200m Freestyle,25m,2:20.79,482,21 Oct 2018,Nepean,NKB Fall Invitational,Freestyle,200
400m Freestyle,25m,4:51.93,518,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Freestyle,400
800m Freestyle,25m,9:57.88,515,3 Feb 2018,Belleville,Eastern Ontario Regional SC ...,Freestyle,800
1500m Freestyle,25m,19:25.14,491,4 Feb 2018,Belleville,Eastern Ontario Regional SC ...,Freestyle,1500
50m Butterfly,25m,32.01,441,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Butterfly,50
100m Butterfly,25m,1:10.34,467,7 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Butterfly,100
200m Butterfly,25m,2:41.54,405,18 Feb 2018,Nepean,Ontario Winter Festival ...,Butterfly,200
50m Breaststroke,25m,42.77,300,22 Oct 2016,Carbonear,Fall SWIM FASTival,Breaststroke,50
100m Breaststroke,25m,1:22.38,433,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Breaststroke,100
200m Breaststroke,25m,2:53.41,467,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Breaststroke,200
50m Backstroke,25m,39.78,268,28 Jan 2017,Conception Bay South,Bluefins Winter Invitational,Backstroke,50
100m Backstroke,25m,1:15.42,388,20 Oct 2018,Nepean,NKB Fall Invitational,Backstroke,100
200m Backstroke,25m,2:40.50,409,21 Oct 2018,Nepean,NKB Fall Invitational,Backstroke,200
200m Medley,50m,2:39.24,496,1 Jun 2018,Nepean,Eastern Ontario Long Course ...,Medley,200
400m Medley,50m,5:26.82,541,7 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Medley,400
50m Freestyle,50m,32.64,381,20 Jan 2018,Ottawa,GO Kingfish Polar Bear Plunge,Freestyle,50
100m Freestyle,50m,1:08.95,421,12 May 2018,Nepean,Festival of Spring,Freestyle,100
200m Freestyle,50m,2:23.75,485,9 Mar 2018,Unionville,Ontario Spring AA Championships,Freestyle,200
400m Freestyle,50m,5:00.65,486,8 Mar 2018,Unionville,Ontario Spring AA Championships,Freestyle,400
800m Freestyle,50m,10:06.92,509,8 Mar 2018,Unionville,Ontario Spring AA Championships,Freestyle,800
1500m Freestyle,50m,19:47.51,473,7 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Freestyle,1500
50m Butterfly,50m,35.24,333,7 May 2017,St. John's,Spring Splash,Butterfly,50
100m Butterfly,50m,1:12.50,448,9 Mar 2018,Unionville,Ontario Spring AA Championships,Butterfly,100
200m Butterfly,50m,2:38.23,456,10 Mar 2018,Unionville,Ontario Spring AA Championships,Butterfly,200
50m Breaststroke,50m,41.66,351,20 Jan 2018,Ottawa,GO Kingfish Polar Bear Plunge,Breaststroke,50
100m Breaststroke,50m,1:26.90,401,12 May 2018,Nepean,Festival of Spring,Breaststroke,100
200m Breaststroke,50m,2:59.06,468,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Breaststroke,200
50m Backstroke,50m,38.46,348,21 Jan 2018,Ottawa,GO Kingfish Polar Bear Plunge,Backstroke,50
100m Backstroke,50m,1:21.82,358,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Backstroke,100
200m Backstroke,50m,2:44.64,427,12 May 2018,Nepean,Festival of Spring,Backstroke,200
