100m Medley,25m,56.85,651,5 Nov 2022,Vancouver,Odlum Brown Colleges Cup,Medley,100
200m Medley,25m,2:02.43,718,18 Dec 2022,Toronto,Ontario Junior International,Medley,200
400m Medley,25m,4:25.17,694,16 Dec 2022,Toronto,Ontario Junior International,Medley,400
50m Freestyle,25m,24.07,587,28 Jan 2023,Surrey,SKSC Winterfest,Freestyle,50
100m Freestyle,25m,53.02,604,29 Jan 2023,Surrey,SKSC Winterfest,Freestyle,100
200m Freestyle,25m,1:54.92,646,10 Mar 2022,Victoria,BC Winter Provincial ...,Freestyle,200
400m Freestyle,25m,4:05.43,646,29 Jan 2023,Surrey,SKSC Winterfest,Freestyle,400
800m Freestyle,25m,8:30.74,654,16 Dec 2022,Toronto,Ontario Junior International,Freestyle,800
1500m Freestyle,25m,16:20.59,644,14 Nov 2021,Coquitlam,Hyack Brad Reid Memorial ...,Freestyle,1500
50m Butterfly,25m,24.78,676,17 Dec 2022,Toronto,Ontario Junior International,Butterfly,50
100m Butterfly,25m,54.82,662,16 Dec 2022,Toronto,Ontario Junior International,Butterfly,100
200m Butterfly,25m,2:01.26,711,17 Dec 2022,Toronto,Ontario Junior International,Butterfly,200
50m Breaststroke,25m,28.99,637,18 Dec 2022,Toronto,Ontario Junior International,Breaststroke,50
100m Breaststroke,25m,1:06.44,575,22 May 2021,Chilliwack,Spartan CSI Pacific Athletes Meet,Breaststroke,100
200m Breaststroke,25m,2:27.32,542,13 Nov 2021,Coquitlam,Hyack Brad Reid Memorial ...,Breaststroke,200
50m Backstroke,25m,27.42,532,11 Mar 2022,Victoria,BC Winter Provincial ...,Backstroke,50
100m Backstroke,25m,59.36,539,12 Dec 2021,Vancouver,VPSC Winter Invitational,Backstroke,100
200m Backstroke,25m,2:03.18,630,18 Dec 2022,Toronto,Ontario Junior International,Backstroke,200
200m Medley,50m,2:08.07,705,30 Mar 2023,Toronto,Canadian Trials,Medley,200
400m Medley,50m,4:33.60,707,1 Apr 2023,Toronto,Canadian Trials,Medley,400
50m Freestyle,50m,25.03,583,29 Apr 2023,Vancouver,Jessica Deglau Invitational,Freestyle,50
100m Freestyle,50m,54.60,634,30 Apr 2023,Vancouver,Jessica Deglau Invitational,Freestyle,100
200m Freestyle,50m,2:00.04,613,26 Jul 2022,Montreal,Canadian Junior & Senior ...,Freestyle,200
400m Freestyle,50m,4:12.02,665,1 Feb 2020,Surrey,PSW Winter Invitational,Freestyle,400
800m Freestyle,50m,8:41.41,651,6 Apr 2022,Victoria,Canadian Swimming Trials,Freestyle,800
1500m Freestyle,50m,16:45.25,650,5 Mar 2020,Victoria,Winter Provincial Championships,Freestyle,1500
50m Butterfly,50m,25.88,637,2 Apr 2023,Toronto,Canadian Trials,Butterfly,50
100m Butterfly,50m,56.77,660,11 Feb 2023,Surrey,PSW LC Invitational,Butterfly,100
200m Butterfly,50m,2:07.86,649,31 Mar 2023,Toronto,Canadian Trials,Butterfly,200
50m Breaststroke,50m,30.70,603,31 Mar 2023,Toronto,Canadian Trials,Breaststroke,50
100m Breaststroke,50m,1:07.62,595,22 Apr 2022,Edmonton,Western Canadian Championships,Breaststroke,100
200m Breaststroke,50m,2:31.43,577,21 Apr 2022,Edmonton,Western Canadian Championships,Breaststroke,200
50m Backstroke,50m,29.09,547,6 Mar 2020,Victoria,Winter Provincial Championships,Backstroke,50
100m Backstroke,50m,59.83,650,30 Apr 2023,Vancouver,Jessica Deglau Invitational,Backstroke,100
200m Backstroke,50m,2:09.71,642,12 Feb 2023,Surrey,PSW LC Invitational,Backstroke,200
