100m Medley,25m,1:15.40,296,21 Jan 2018,Ottawa,GO Kingfish Polar Bear Plunge,Medley,100
200m Medley,25m,2:23.46,446,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Medley,200
400m Medley,25m,5:00.04,483,7 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Medley,400
50m Freestyle,25m,30.70,287,25 Nov 2017,Montreal-Nord,Invitation provinciale 12 ans et ...,Freestyle,50
100m Freestyle,25m,1:01.84,383,20 Oct 2018,Nepean,NKB Fall Invitational,Freestyle,100
200m Freestyle,25m,2:16.43,386,21 Oct 2018,Nepean,NKB Fall Invitational,Freestyle,200
400m Freestyle,25m,4:43.45,419,3 Feb 2019,Nepean,Eastern Ontario Regional ...,Freestyle,400
800m Freestyle,25m,9:29.83,471,2 Feb 2019,Nepean,Eastern Ontario Regional ...,Freestyle,800
1500m Freestyle,25m,17:52.10,494,3 Feb 2019,Nepean,Eastern Ontario Regional ...,Freestyle,1500
50m Butterfly,25m,33.18,283,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Butterfly,50
100m Butterfly,25m,1:08.07,352,7 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Butterfly,100
200m Butterfly,25m,2:51.10,255,4 Feb 2018,Belleville,Eastern Ontario Regional SC ...,Butterfly,200
50m Breaststroke,25m,34.52,391,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Breaststroke,50
100m Breaststroke,25m,1:12.66,448,9 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Breaststroke,100
200m Breaststroke,25m,2:36.62,454,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Breaststroke,200
50m Backstroke,25m,33.88,282,25 Nov 2018,Cornwall,CSL Snowflake Invitational,Backstroke,50
100m Backstroke,25m,1:09.93,341,20 Oct 2018,Nepean,NKB Fall Invitational,Backstroke,100
200m Backstroke,25m,2:25.51,382,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Backstroke,200
200m Medley,50m,2:26.61,470,3 Mar 2019,Etobicoke,Spring Ontario Swimming ...,Medley,200
400m Medley,50m,5:03.03,521,1 Mar 2019,Etobicoke,Spring Ontario Swimming ...,Medley,400
50m Freestyle,50m,31.96,280,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Freestyle,50
100m Freestyle,50m,1:03.78,397,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Freestyle,100
200m Freestyle,50m,2:32.11,301,22 Apr 2017,Ottawa,GO Kingfish April LC Invite,Freestyle,200
400m Freestyle,50m,4:43.76,466,2 Mar 2019,Etobicoke,Spring Ontario Swimming ...,Freestyle,400
800m Freestyle,50m,9:32.44,492,2 Mar 2019,Etobicoke,Spring Ontario Swimming ...,Freestyle,800
1500m Freestyle,50m,17:57.37,528,2 Mar 2019,Etobicoke,Spring Ontario Swimming ...,Freestyle,1500
50m Butterfly,50m,36.51,231,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Butterfly,50
100m Butterfly,50m,1:11.00,345,7 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Butterfly,100
200m Butterfly,50m,3:05.49,217,4 Jun 2017,Nepean,Eastern Ontario Long Course ...,Butterfly,200
50m Breaststroke,50m,34.49,425,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Breaststroke,50
100m Breaststroke,50m,1:14.25,455,2 Mar 2019,Etobicoke,Spring Ontario Swimming ...,Breaststroke,100
200m Breaststroke,50m,2:35.35,542,28 Feb 2019,Etobicoke,Spring Ontario Swimming ...,Breaststroke,200
50m Backstroke,50m,37.50,263,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Backstroke,50
100m Backstroke,50m,1:13.47,351,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Backstroke,100
200m Backstroke,50m,2:36.60,365,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Backstroke,200
