100m Medley,25m,1:47.77,103,8 Dec 2012,Gatineau,Entre amis 2012 / Between Friends - ...,Medley,100
200m Medley,25m,2:44.44,296,13 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Medley,200
400m Medley,25m,5:45.47,316,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Medley,400
50m Freestyle,25m,32.90,233,13 Dec 2014,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,50
100m Freestyle,25m,1:05.05,329,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,100
200m Freestyle,25m,2:19.22,363,13 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,200
400m Freestyle,25m,4:58.95,357,29 Jan 2016,Belleville,Eastern Ontario Short Course ...,Freestyle,400
800m Freestyle,25m,10:19.38,366,30 Jan 2016,Belleville,Eastern Ontario Short Course ...,Freestyle,800
1500m Freestyle,25m,20:36.37,325,24 Oct 2015,Ottawa,ROC Swimming In House Distance ...,Freestyle,1500
50m Butterfly,25m,39.87,163,24 May 2015,Kingston,May Wind-up Qualifier,Butterfly,50
100m Butterfly,25m,1:22.43,202,27 Nov 2015,Cornwall,CSL Snowflake Invitational,Butterfly,100
50m Breaststroke,25m,47.14,153,9 Feb 2014,Carleton Place,CPWD Mid Winter Melt,Breaststroke,50
100m Breaststroke,25m,1:35.16,199,14 Dec 2014,Pointe-Claire,Invitation Provinciale AA ...,Breaststroke,100
200m Breaststroke,25m,3:29.59,189,17 Jan 2015,Ottawa,GO Kingfish Polar Plunge,Breaststroke,200
50m Backstroke,25m,40.04,170,29 Nov 2014,Cornwall,CSL Snowflake Invitational,Backstroke,50
100m Backstroke,25m,1:15.77,269,29 Jan 2016,Belleville,Eastern Ontario Short Course ...,Backstroke,100
200m Backstroke,25m,2:37.45,306,12 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Backstroke,200
200m Medley,50m,2:51.15,295,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Medley,200
50m Freestyle,50m,31.53,291,10 Apr 2016,Nepean,OYO Long Course Invitational,Freestyle,50
100m Freestyle,50m,1:10.63,292,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Freestyle,100
200m Freestyle,50m,2:28.12,326,8 May 2015,Nepean,Festival of Spring,Freestyle,200
400m Freestyle,50m,5:10.86,354,10 Apr 2016,Nepean,OYO Long Course Invitational,Freestyle,400
800m Freestyle,50m,10:37.84,356,16 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Freestyle,800
1500m Freestyle,50m,20:52.35,336,8 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Freestyle,1500
50m Butterfly,50m,37.74,209,17 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Butterfly,50
100m Butterfly,50m,1:24.23,206,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Butterfly,100
50m Breaststroke,50m,43.38,232,16 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Breaststroke,50
100m Breaststroke,50m,1:34.97,233,4 Jul 2014,Halifax,East Coast Long Course ...,Breaststroke,100
200m Breaststroke,50m,3:34.36,208,26 Apr 2015,Ottawa,GO Kingfish April Long Course Meet,Breaststroke,200
50m Backstroke,50m,36.38,288,10 Apr 2016,Nepean,OYO Long Course Invitational,Backstroke,50
100m Backstroke,50m,1:18.22,292,16 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Backstroke,100
200m Backstroke,50m,2:44.80,313,5 Jun 2016,Nepean,Eastern Ontario Long Course ...,Backstroke,200
