100m Medley,25m,1:35.37,208,9 Jan 2016,Perth,Mike Brown Invitational,Medley,100
200m Medley,25m,2:29.66,539,8 Dec 2019,Pointe-Claire,Invitation decembre ...,Medley,200
50m Freestyle,25m,29.37,475,17 Nov 2019,Cornwall,Snowflake Invitational Swim Meet,Freestyle,50
100m Freestyle,25m,1:01.86,536,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Freestyle,100
200m Freestyle,25m,2:07.66,647,6 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,200
400m Freestyle,25m,4:27.44,669,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,400
800m Freestyle,25m,9:21.98,620,6 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Freestyle,800
1500m Freestyle,25m,18:17.33,588,3 Feb 2019,Nepean,Eastern Ontario Regional ...,Freestyle,1500
50m Butterfly,25m,34.25,360,3 Nov 2018,Ottawa,ROC Swimming Duel Meet,Butterfly,50
50m Breaststroke,25m,46.08,238,21 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Breaststroke,50
100m Breaststroke,25m,1:25.22,391,20 Oct 2019,Nepean,NKB Fall Invitational,Breaststroke,100
200m Breaststroke,25m,3:06.60,375,3 Nov 2018,Ottawa,ROC Swimming Duel Meet,Breaststroke,200
50m Backstroke,25m,33.54,448,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Backstroke,50
100m Backstroke,25m,1:08.89,509,6 Dec 2019,Pointe-Claire,Invitation decembre ...,Backstroke,100
200m Backstroke,25m,2:20.71,608,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Backstroke,200
200m Medley,50m,2:37.62,512,8 Dec 2019,Pointe-Claire,Invitation decembre ...,Medley,200
400m Medley,50m,5:43.04,468,3 May 2019,Gatineau,Open,Medley,400
50m Freestyle,50m,30.09,486,4 May 2019,Gatineau,Open,Freestyle,50
100m Freestyle,50m,1:02.91,555,30 Jun 2018,Unionville,Ontario Summer AA Championships,Freestyle,100
200m Freestyle,50m,2:12.04,626,6 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,200
400m Freestyle,50m,4:36.96,622,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,400
800m Freestyle,50m,9:21.05,645,5 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,800
1500m Freestyle,50m,18:15.36,593,14 Apr 2019,Quebec,Eastern Canadian Championships,Freestyle,1500
50m Butterfly,50m,39.56,235,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Butterfly,50
100m Butterfly,50m,1:20.53,326,4 May 2019,Gatineau,Open,Butterfly,100
50m Breaststroke,50m,48.65,220,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Breaststroke,50
100m Breaststroke,50m,1:34.62,311,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Breaststroke,100
200m Breaststroke,50m,3:12.90,375,3 May 2019,Gatineau,Open,Breaststroke,200
50m Backstroke,50m,34.46,479,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Backstroke,50
100m Backstroke,50m,1:11.19,540,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Backstroke,100
200m Backstroke,50m,2:27.18,598,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Backstroke,200
