100m Medley,25m,1:00.65,536,28 Oct 2022,Toronto,FINA: World Cup No 2 - 2022 Series,Medley,100
200m Medley,25m,2:13.68,551,4 Nov 2022,Toronto,NYAC Cup,Medley,200
400m Medley,25m,5:16.18,409,1 Feb 2019,London,Western Region SC Champs,Medley,400
50m Freestyle,25m,23.63,620,5 Nov 2022,Toronto,NYAC Cup,Freestyle,50
100m Freestyle,25m,51.98,641,18 Dec 2022,Toronto,Ontario Junior International,Freestyle,100
200m Freestyle,25m,1:57.24,608,16 Dec 2022,Toronto,Ontario Junior International,Freestyle,200
400m Freestyle,25m,4:21.17,536,4 Dec 2022,Windsor,Border City Invitational,Freestyle,400
800m Freestyle,25m,9:24.68,484,15 Dec 2019,Brantford,Team Showdown,Freestyle,800
1500m Freestyle,25m,17:41.35,508,15 Dec 2019,Brantford,Team Showdown,Freestyle,1500
50m Butterfly,25m,29.09,417,2 Feb 2020,Brantford,Western Region SC Championships,Butterfly,50
100m Butterfly,25m,57.94,560,23 Oct 2022,Windsor,WAC Pentathlon,Butterfly,100
200m Butterfly,25m,2:21.82,444,1 Feb 2020,Brantford,Western Region SC Championships,Butterfly,200
50m Breaststroke,25m,38.22,278,2 Feb 2019,London,Western Region SC Champs,Breaststroke,50
100m Breaststroke,25m,1:30.27,229,3 Feb 2018,London,Western Region SC Champs,Breaststroke,100
200m Breaststroke,25m,2:57.28,311,2 Feb 2019,London,Western Region SC Champs,Breaststroke,200
50m Backstroke,25m,25.43,667,16 Dec 2022,Toronto,Ontario Junior International,Backstroke,50
100m Backstroke,25m,55.02,677,17 Dec 2022,Toronto,Ontario Junior International,Backstroke,100
200m Backstroke,25m,2:08.13,560,18 Dec 2022,Toronto,Ontario Junior International,Backstroke,200
200m Medley,50m,2:20.64,532,10 Apr 2022,Windsor,Spring Forward Invitational ...,Medley,200
400m Medley,50m,5:34.85,386,3 May 2019,Windsor,Amanda Reason Invitational,Medley,400
50m Freestyle,50m,24.02,659,30 Mar 2023,Toronto,Canadian Trials,Freestyle,50
100m Freestyle,50m,53.63,669,31 Mar 2023,Toronto,Canadian Trials,Freestyle,100
200m Freestyle,50m,2:04.37,551,21 Apr 2022,Pointe-Claire,Eastern Canadian Championships,Freestyle,200
400m Freestyle,50m,4:28.78,548,3 Jun 2022,Windsor,WOSA LC Regionals,Freestyle,400
800m Freestyle,50m,9:34.38,487,4 Jun 2022,Windsor,WOSA LC Regionals,Freestyle,800
1500m Freestyle,50m,17:54.70,532,4 Jun 2022,Windsor,WOSA LC Regionals,Freestyle,1500
50m Butterfly,50m,26.81,573,14 Apr 2023,Westmont (USA),Pro Swim Series,Butterfly,50
100m Butterfly,50m,1:00.62,542,5 Jun 2022,Windsor,WOSA LC Regionals,Butterfly,100
200m Butterfly,50m,2:20.97,484,9 Apr 2022,Windsor,Spring Forward Invitational ...,Butterfly,200
50m Breaststroke,50m,40.66,259,1 Jun 2019,Windsor,Western Region LC Champs,Breaststroke,50
100m Breaststroke,50m,1:29.18,259,31 May 2019,Windsor,Western Region LC Champs,Breaststroke,100
200m Breaststroke,50m,3:06.07,311,2 Jun 2019,Windsor,Western Region LC Champs,Breaststroke,200
50m Backstroke,50m,26.17,752,29 Mar 2023,Toronto,Canadian Trials,Backstroke,50
100m Backstroke,50m,57.71,725,28 Mar 2023,Toronto,Canadian Trials,Backstroke,100
200m Backstroke,50m,2:15.04,569,10 Aug 2022,St. Catharines,Canada Games,Backstroke,200
