100m Medley,25m,1:39.11,186,24 May 2015,Kingston,May Wind-up Qualifier,Medley,100
200m Medley,25m,2:47.56,384,4 Nov 2017,Ottawa,ROCS Duel Meet,Medley,200
400m Medley,25m,6:12.55,337,22 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Medley,400
50m Freestyle,25m,32.34,371,4 Nov 2017,Ottawa,ROCS Duel Meet,Freestyle,50
100m Freestyle,25m,1:10.84,371,26 Nov 2017,Montreal-Nord,Invitation provinciale 13 ans et ...,Freestyle,100
200m Freestyle,25m,2:38.38,342,22 Oct 2017,Nepean,Kanata Barracudas Short Course ...,Freestyle,200
400m Freestyle,25m,5:33.25,348,24 Nov 2017,Montreal-Nord,Invitation provinciale 13 ans et ...,Freestyle,400
800m Freestyle,25m,11:14.66,358,24 Nov 2017,Montreal-Nord,Invitation provinciale 13 ans et ...,Freestyle,800
50m Butterfly,25m,41.42,203,27 Nov 2016,Montreal-Nord,Invitation provinciale AA et AAA ...,Butterfly,50
100m Butterfly,25m,1:23.65,278,25 Nov 2017,Montreal-Nord,Invitation provinciale 13 ans et ...,Butterfly,100
50m Breaststroke,25m,42.23,311,3 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Breaststroke,50
100m Breaststroke,25m,1:28.12,354,26 Nov 2017,Montreal-Nord,Invitation provinciale 13 ans et ...,Breaststroke,100
200m Breaststroke,25m,3:02.93,398,4 Nov 2017,Ottawa,ROCS Duel Meet,Breaststroke,200
50m Backstroke,25m,38.98,285,4 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Backstroke,50
100m Backstroke,25m,1:20.93,314,21 Oct 2017,Nepean,Kanata Barracudas Short Course ...,Backstroke,100
200m Backstroke,25m,2:49.77,346,26 Nov 2017,Montreal-Nord,Invitation provinciale 13 ans et ...,Backstroke,200
200m Medley,50m,2:59.05,349,13 May 2017,Nepean,Festival of Spring,Medley,200
400m Medley,50m,6:16.32,354,22 Apr 2017,Ottawa,GO Kingfish April LC Invite,Medley,400
50m Freestyle,50m,35.05,310,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,50
100m Freestyle,50m,1:16.91,310,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Freestyle,100
200m Freestyle,50m,2:42.08,338,12 May 2017,Nepean,Festival of Spring,Freestyle,200
400m Freestyle,50m,5:49.35,310,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Freestyle,400
800m Freestyle,50m,11:55.56,310,7 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Freestyle,800
50m Butterfly,50m,39.09,244,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Butterfly,50
100m Butterfly,50m,1:31.09,225,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Butterfly,100
50m Breaststroke,50m,44.81,284,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Breaststroke,50
100m Breaststroke,50m,1:30.32,361,9 Apr 2017,Nepean,Ottawa Youth Olympians VORGEE ...,Breaststroke,100
200m Breaststroke,50m,3:09.89,393,1 Apr 2017,Nepean,Welcome to Long Course ...,Breaststroke,200
50m Backstroke,50m,38.88,337,4 Jun 2017,Nepean,Eastern Ontario Long Course ...,Backstroke,50
100m Backstroke,50m,1:23.95,331,1 Apr 2017,Nepean,Welcome to Long Course ...,Backstroke,100
200m Backstroke,50m,2:58.23,337,9 Apr 2017,Nepean,Ottawa Youth Olympians VORGEE ...,Backstroke,200
