100m Medley,25m,1:19.66,257,3 Oct 2015,Ottawa,GO Kingfish and Gee Gee Pentathlon,Medley,100
200m Medley,25m,2:34.24,359,25 Nov 2016,Trois-Rivieres,16e Invitation Megophias,Medley,200
400m Medley,25m,5:28.77,367,5 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Medley,400
50m Freestyle,25m,29.04,339,25 Nov 2016,Trois-Rivieres,16e Invitation Megophias,Freestyle,50
100m Freestyle,25m,1:02.91,364,27 Nov 2016,Trois-Rivieres,16e Invitation Megophias,Freestyle,100
200m Freestyle,25m,2:17.11,380,9 Dec 2016,Gatineau,Grand Prix Gatineau,Freestyle,200
400m Freestyle,25m,4:42.42,424,27 Nov 2016,Trois-Rivieres,16e Invitation Megophias,Freestyle,400
800m Freestyle,25m,9:43.18,439,18 Feb 2017,Etobicoke,Ontario Winter Festival,Freestyle,800
1500m Freestyle,25m,18:28.51,447,5 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Freestyle,1500
50m Butterfly,25m,34.65,249,17 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Butterfly,50
100m Butterfly,25m,1:14.39,276,5 Nov 2016,Ottawa,GO Kingfish November Invitational,Butterfly,100
50m Breaststroke,25m,41.19,230,16 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Breaststroke,50
100m Breaststroke,25m,1:26.20,268,5 Nov 2016,Ottawa,GO Kingfish November Invitational,Breaststroke,100
200m Breaststroke,25m,3:12.27,246,16 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Breaststroke,200
50m Backstroke,25m,35.07,254,19 Jun 2016,Etobicoke,Ontario Summer Festival,Backstroke,50
100m Backstroke,25m,1:15.11,276,20 Feb 2016,Unionville,Ontario Winter Short Course ...,Backstroke,100
200m Backstroke,25m,2:33.32,327,19 Feb 2017,Etobicoke,Ontario Winter Festival,Backstroke,200
200m Medley,50m,2:36.15,389,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Medley,200
400m Medley,50m,5:35.61,383,5 May 2017,Gatineau,Open de Gatineau LC,Medley,400
50m Freestyle,50m,29.25,365,22 Apr 2017,Ottawa,GO Kingfish April LC Invite,Freestyle,50
100m Freestyle,50m,1:03.20,408,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Freestyle,100
200m Freestyle,50m,2:13.12,449,7 May 2017,Gatineau,Open de Gatineau LC,Freestyle,200
400m Freestyle,50m,4:44.79,461,5 Mar 2017,Brantford,Ontario Spring Provincial ...,Freestyle,400
800m Freestyle,50m,9:46.59,457,7 May 2017,Gatineau,Open de Gatineau LC,Freestyle,800
1500m Freestyle,50m,18:49.39,458,4 Mar 2017,Brantford,Ontario Spring Provincial ...,Freestyle,1500
50m Butterfly,50m,33.75,293,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Butterfly,50
100m Butterfly,50m,1:14.84,294,22 Apr 2017,Ottawa,GO Kingfish April LC Invite,Butterfly,100
50m Breaststroke,50m,43.80,219,26 Apr 2015,Ottawa,GO Kingfish April Long Course Meet,Breaststroke,50
100m Breaststroke,50m,1:27.69,288,22 Apr 2017,Ottawa,GO Kingfish April LC Invite,Breaststroke,100
200m Breaststroke,50m,3:11.87,290,21 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Breaststroke,200
50m Backstroke,50m,34.19,347,5 May 2017,Gatineau,Open de Gatineau LC,Backstroke,50
100m Backstroke,50m,1:11.41,384,6 May 2017,Gatineau,Open de Gatineau LC,Backstroke,100
200m Backstroke,50m,2:31.81,400,5 May 2017,Gatineau,Open de Gatineau LC,Backstroke,200
