100m Medley,25m,1:21.75,232,27 Nov 2016,Montreal-Nord,Invitation provinciale AA et AAA ...,Medley,100
200m Medley,25m,2:29.13,397,8 Dec 2019,Pointe-Claire,Invitation decembre ...,Medley,200
400m Medley,25m,5:40.06,332,21 Oct 2018,Nepean,NKB Fall Invitational,Medley,400
50m Freestyle,25m,26.71,436,2 Feb 2019,Nepean,Eastern Ontario Regional ...,Freestyle,50
100m Freestyle,25m,57.90,467,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,100
200m Freestyle,25m,2:03.81,517,9 Jun 2019,Brockville,Splash N Grill,Freestyle,200
400m Freestyle,25m,4:31.59,477,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,400
800m Freestyle,25m,9:56.28,411,25 Feb 2018,Kingston,Heats and Finals SC Finale,Freestyle,800
50m Butterfly,25m,30.15,375,9 Jun 2019,Brockville,Splash N Grill,Butterfly,50
100m Butterfly,25m,1:14.79,265,20 Oct 2019,Nepean,NKB Fall Invitational,Butterfly,100
200m Butterfly,25m,2:51.25,252,4 Nov 2017,Ottawa,ROCS Duel Meet,Butterfly,200
50m Breaststroke,25m,38.78,276,2 Nov 2019,Ottawa,ROC Swimming Duel Meet,Breaststroke,50
100m Breaststroke,25m,1:29.35,241,25 Feb 2018,Kingston,Heats and Finals SC Finale,Breaststroke,100
200m Breaststroke,25m,3:05.18,273,20 Oct 2018,Nepean,NKB Fall Invitational,Breaststroke,200
50m Backstroke,25m,33.29,297,2 Feb 2019,Nepean,Eastern Ontario Regional ...,Backstroke,50
100m Backstroke,25m,1:10.49,333,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Backstroke,100
200m Backstroke,25m,2:30.93,342,4 Feb 2018,Belleville,Eastern Ontario Regional SC ...,Backstroke,200
200m Medley,50m,2:36.32,387,8 Dec 2019,Pointe-Claire,Invitation decembre ...,Medley,200
400m Medley,50m,5:45.45,351,13 May 2018,Nepean,Festival of Spring,Medley,400
50m Freestyle,50m,26.66,482,4 Jul 2019,Halifax,Nova Scotia Ken Dunn Provincial ...,Freestyle,50
100m Freestyle,50m,58.00,529,7 Jul 2019,Halifax,Nova Scotia Ken Dunn Provincial ...,Freestyle,100
200m Freestyle,50m,2:08.24,503,5 Jul 2019,Halifax,Nova Scotia Ken Dunn Provincial ...,Freestyle,200
400m Freestyle,50m,4:37.62,498,6 Jul 2019,Halifax,Nova Scotia Ken Dunn Provincial ...,Freestyle,400
800m Freestyle,50m,9:50.55,448,6 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Freestyle,800
1500m Freestyle,50m,18:46.49,462,2 Jun 2019,Nepean,Eastern Ontario Regional Long ...,Freestyle,1500
50m Butterfly,50m,30.84,376,5 Jul 2019,Halifax,Nova Scotia Ken Dunn Provincial ...,Butterfly,50
100m Butterfly,50m,1:16.83,272,4 May 2019,Gatineau,Open,Butterfly,100
200m Butterfly,50m,2:56.67,251,11 May 2018,Nepean,Festival of Spring,Butterfly,200
50m Breaststroke,50m,54.99,105,12 Apr 2015,Nepean,OYO Long Course Invitational,Breaststroke,50
100m Breaststroke,50m,1:30.22,253,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Breaststroke,100
200m Breaststroke,50m,3:12.65,284,3 May 2019,Gatineau,Open,Breaststroke,200
50m Backstroke,50m,34.48,337,2 Jun 2018,Nepean,Eastern Ontario Long Course ...,Backstroke,50
100m Backstroke,50m,1:13.13,356,8 Dec 2017,Pointe-Claire,Invitation Provinciale AA-AAA ...,Backstroke,100
200m Backstroke,50m,2:34.41,380,9 Dec 2017,Pointe-Claire,Invitation Provinciale AA-AAA ...,Backstroke,200
