100m Medley,25m,1:52.08,128,15 May 2016,Kingston,KBM Last Chance Qualifier,Medley,100
200m Medley,25m,3:11.48,257,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Medley,200
50m Freestyle,25m,34.39,296,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Freestyle,50
100m Freestyle,25m,1:17.37,273,10 Jun 2018,Brockville,Splash N Grill,Freestyle,100
200m Freestyle,25m,2:40.73,324,23 Nov 2018,Cornwall,CSL Snowflake Invitational,Freestyle,200
400m Freestyle,25m,5:52.72,293,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Freestyle,400
800m Freestyle,25m,11:46.43,312,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Freestyle,800
50m Butterfly,25m,41.17,207,24 Feb 2018,Kingston,Heats and Finals SC Finale,Butterfly,50
100m Butterfly,25m,1:37.67,174,25 Feb 2018,Kingston,Heats and Finals SC Finale,Butterfly,100
50m Breaststroke,25m,49.44,194,25 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Breaststroke,50
100m Breaststroke,25m,1:38.44,254,21 Oct 2018,Nepean,NKB Fall Invitational,Breaststroke,100
200m Breaststroke,25m,3:30.03,263,23 Nov 2018,Cornwall,CSL Snowflake Invitational,Breaststroke,200
50m Backstroke,25m,43.71,202,4 Nov 2017,Ottawa,ROCS Duel Meet,Backstroke,50
100m Backstroke,25m,1:30.10,227,20 Oct 2018,Nepean,NKB Fall Invitational,Backstroke,100
200m Backstroke,25m,3:10.89,243,21 Oct 2018,Nepean,NKB Fall Invitational,Backstroke,200
200m Medley,50m,3:16.23,265,12 May 2018,Nepean,Festival of Spring,Medley,200
50m Freestyle,50m,37.84,244,21 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Freestyle,50
100m Freestyle,50m,1:18.03,291,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Freestyle,100
200m Freestyle,50m,3:05.00,227,21 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Freestyle,200
400m Freestyle,50m,5:51.43,304,19 Jan 2019,Nepean,NKB Winter Invitational,Freestyle,400
800m Freestyle,50m,11:58.75,306,13 May 2018,Nepean,Festival of Spring,Freestyle,800
50m Butterfly,50m,48.60,127,9 Apr 2017,Nepean,Ottawa Youth Olympians VORGEE ...,Butterfly,50
100m Butterfly,50m,1:39.56,173,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Butterfly,100
50m Breaststroke,50m,51.51,185,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Breaststroke,50
100m Breaststroke,50m,1:42.22,246,12 May 2018,Nepean,Festival of Spring,Breaststroke,100
200m Breaststroke,50m,3:38.38,258,20 Jan 2018,Ottawa,GO Kingfish Polar Bear Plunge,Breaststroke,200
50m Backstroke,50m,47.14,189,9 Apr 2017,Nepean,Ottawa Youth Olympians VORGEE ...,Backstroke,50
100m Backstroke,50m,1:34.34,233,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Backstroke,100
200m Backstroke,50m,3:41.75,175,9 Apr 2017,Nepean,Ottawa Youth Olympians VORGEE ...,Backstroke,200
