100m Medley,25m,1:28.39,184,4 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Medley,100
200m Medley,25m,2:43.45,301,17 Feb 2019,Etobicoke,Ontario Winter Festival ...,Medley,200
400m Medley,25m,6:11.45,254,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Medley,400
50m Freestyle,25m,30.62,289,19 Jan 2019,Nepean,NKB Winter Invitational,Freestyle,50
100m Freestyle,25m,1:08.28,285,24 Nov 2018,Cornwall,CSL Snowflake Invitational,Freestyle,100
200m Freestyle,25m,2:32.51,276,21 Oct 2018,Nepean,NKB Fall Invitational,Freestyle,200
400m Freestyle,25m,5:49.50,223,9 Dec 2017,Pointe-Claire,Invitation Provinciale AA-AAA ...,Freestyle,400
800m Freestyle,25m,12:06.12,227,7 Dec 2017,Pointe-Claire,Invitation Provinciale AA-AAA ...,Freestyle,800
50m Butterfly,25m,33.16,284,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Butterfly,50
100m Butterfly,25m,1:15.29,260,2 Feb 2019,Nepean,Eastern Ontario Regional ...,Butterfly,100
200m Butterfly,25m,2:57.76,227,17 Feb 2019,Etobicoke,Ontario Winter Festival ...,Butterfly,200
50m Breaststroke,25m,43.00,202,3 Nov 2018,Ottawa,ROC Swimming Duel Meet,Breaststroke,50
100m Breaststroke,25m,1:27.41,257,2 Feb 2019,Nepean,Eastern Ontario Regional ...,Breaststroke,100
200m Breaststroke,25m,3:08.36,261,3 Feb 2019,Nepean,Eastern Ontario Regional ...,Breaststroke,200
50m Backstroke,25m,38.44,193,10 Jun 2018,Brockville,Splash N Grill,Backstroke,50
100m Backstroke,25m,1:21.38,216,20 Oct 2018,Nepean,NKB Fall Invitational,Backstroke,100
200m Backstroke,25m,2:55.72,217,3 Nov 2018,Ottawa,ROC Swimming Duel Meet,Backstroke,200
200m Medley,50m,3:00.97,249,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Medley,200
400m Medley,50m,6:27.87,248,2 Jun 2018,Nepean,Eastern Ontario Long Course ...,Medley,400
50m Freestyle,50m,31.28,298,3 Jun 2018,Nepean,Eastern Ontario Long Course ...,Freestyle,50
100m Freestyle,50m,1:11.69,280,12 May 2018,Nepean,Festival of Spring,Freestyle,100
200m Freestyle,50m,2:41.71,250,11 May 2018,Nepean,Festival of Spring,Freestyle,200
400m Freestyle,50m,5:34.03,285,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Freestyle,400
800m Freestyle,50m,12:31.27,217,7 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Freestyle,800
1500m Freestyle,50m,23:02.45,250,7 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Freestyle,1500
50m Butterfly,50m,36.22,237,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Butterfly,50
100m Butterfly,50m,1:23.27,214,2 Jun 2018,Nepean,Eastern Ontario Long Course ...,Butterfly,100
200m Butterfly,50m,3:16.43,182,3 Jun 2018,Nepean,Eastern Ontario Long Course ...,Butterfly,200
50m Breaststroke,50m,43.72,209,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Breaststroke,50
100m Breaststroke,50m,1:39.40,189,2 Jun 2018,Nepean,Eastern Ontario Long Course ...,Breaststroke,100
200m Breaststroke,50m,3:30.41,218,11 May 2018,Nepean,Festival of Spring,Breaststroke,200
50m Backstroke,50m,38.51,243,8 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Backstroke,50
100m Backstroke,50m,1:25.67,221,22 Apr 2018,Ottawa,GO Kingfish Dive into Spring Long ...,Backstroke,100
200m Backstroke,50m,3:08.75,208,3 Jun 2017,Nepean,Eastern Ontario Long Course ...,Backstroke,200
