100m Medley,25m,1:22.75,318,9 Jun 2019,Brockville,Splash N Grill,Medley,100
200m Medley,25m,2:59.10,314,19 Oct 2019,Nepean,NKB Fall Invitational,Medley,200
50m Freestyle,25m,32.53,350,17 Nov 2019,Cornwall,Snowflake Invitational Swim Meet,Freestyle,50
100m Freestyle,25m,1:11.03,354,16 Nov 2019,Cornwall,Snowflake Invitational Swim Meet,Freestyle,100
200m Freestyle,25m,2:30.09,398,6 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,200
400m Freestyle,25m,5:16.46,403,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,400
800m Freestyle,25m,11:01.72,380,2 Nov 2019,Ottawa,ROC Swimming Duel Meet,Freestyle,800
50m Butterfly,25m,45.81,150,3 Nov 2018,Ottawa,ROC Swimming Duel Meet,Butterfly,50
100m Butterfly,25m,1:29.45,227,20 Oct 2019,Nepean,NKB Fall Invitational,Butterfly,100
50m Breaststroke,25m,1:00.59,104,25 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Breaststroke,50
100m Breaststroke,25m,1:33.55,296,20 Oct 2019,Nepean,NKB Fall Invitational,Breaststroke,100
200m Breaststroke,25m,3:30.05,262,19 Oct 2019,Nepean,NKB Fall Invitational,Breaststroke,200
50m Backstroke,25m,38.81,289,2 Nov 2019,Ottawa,ROC Swimming Duel Meet,Backstroke,50
100m Backstroke,25m,1:17.75,354,6 Dec 2019,Pointe-Claire,Invitation decembre ...,Backstroke,100
200m Backstroke,25m,2:42.63,394,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Backstroke,200
200m Medley,50m,3:04.11,321,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Medley,200
50m Freestyle,50m,31.92,407,18 Jan 2020,Ottawa,GO Kingfish Polar Bear Plunge,Freestyle,50
100m Freestyle,50m,1:07.13,457,19 Jan 2020,Ottawa,GO Kingfish Polar Bear Plunge,Freestyle,100
200m Freestyle,50m,2:26.30,460,18 Jan 2020,Ottawa,GO Kingfish Polar Bear Plunge,Freestyle,200
400m Freestyle,50m,5:11.96,435,19 Jan 2020,Ottawa,GO Kingfish Polar Bear Plunge,Freestyle,400
800m Freestyle,50m,11:44.08,326,6 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Freestyle,800
50m Butterfly,50m,39.25,241,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Butterfly,50
100m Butterfly,50m,1:30.19,232,4 May 2019,Gatineau,Open,Butterfly,100
50m Breaststroke,50m,49.00,216,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Breaststroke,50
100m Breaststroke,50m,1:41.03,255,5 Jul 2019,Halifax,Nova Scotia Ken Dunn Provincial ...,Breaststroke,100
200m Breaststroke,50m,3:41.36,248,3 May 2019,Gatineau,Open,Breaststroke,200
50m Backstroke,50m,38.58,342,7 Dec 2019,Pointe-Claire,Invitation decembre ...,Backstroke,50
100m Backstroke,50m,1:18.43,404,19 Jan 2020,Ottawa,GO Kingfish Polar Bear Plunge,Backstroke,100
200m Backstroke,50m,2:44.36,430,18 Jan 2020,Ottawa,GO Kingfish Polar Bear Plunge,Backstroke,200
